key,0,1
#,,
int32,str,str
0,"TEXT_BANOMI107_04613_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>특수 규칙:  레벨 보정(직업 변경 제한)<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
※ 이 퀘스트는 퀘스트 수락 시점의 클래스로만 진행할 수 있습니다.

리서치 A4에 있는 스티그마-4는 배달을 부탁하고 싶은 듯하다."
1,"TEXT_BANOMI107_04613_SEQ_01",""
2,"TEXT_BANOMI107_04613_SEQ_02",""
3,"TEXT_BANOMI107_04613_SEQ_03",""
4,"TEXT_BANOMI107_04613_SEQ_04",""
5,"TEXT_BANOMI107_04613_SEQ_05",""
6,"TEXT_BANOMI107_04613_SEQ_06",""
7,"TEXT_BANOMI107_04613_SEQ_07",""
8,"TEXT_BANOMI107_04613_SEQ_08",""
9,"TEXT_BANOMI107_04613_SEQ_09",""
10,"TEXT_BANOMI107_04613_SEQ_10",""
11,"TEXT_BANOMI107_04613_SEQ_11",""
12,"TEXT_BANOMI107_04613_SEQ_12",""
13,"TEXT_BANOMI107_04613_SEQ_13",""
14,"TEXT_BANOMI107_04613_SEQ_14",""
15,"TEXT_BANOMI107_04613_SEQ_15",""
16,"TEXT_BANOMI107_04613_SEQ_16",""
17,"TEXT_BANOMI107_04613_SEQ_17",""
18,"TEXT_BANOMI107_04613_SEQ_18",""
19,"TEXT_BANOMI107_04613_SEQ_19",""
20,"TEXT_BANOMI107_04613_SEQ_20",""
21,"TEXT_BANOMI107_04613_SEQ_21",""
22,"TEXT_BANOMI107_04613_SEQ_22",""
23,"TEXT_BANOMI107_04613_SEQ_23",""
24,"TEXT_BANOMI107_04613_TODO_00","망설임의 샘 부근을 정찰 중인 병사들에게 
<Sheet(EventItem,2003440,0)/> 전달"
25,"TEXT_BANOMI107_04613_TODO_01","스티그마-4에게 보고"
26,"TEXT_BANOMI107_04613_TODO_02",""
27,"TEXT_BANOMI107_04613_TODO_03",""
28,"TEXT_BANOMI107_04613_TODO_04",""
29,"TEXT_BANOMI107_04613_TODO_05",""
30,"TEXT_BANOMI107_04613_TODO_06",""
31,"TEXT_BANOMI107_04613_TODO_07",""
32,"TEXT_BANOMI107_04613_TODO_08",""
33,"TEXT_BANOMI107_04613_TODO_09",""
