key,0,1
#,,
int32,str,str
0,"",""
1,"이름 없는 자들의 광장: 정비 1단계 준비 중",""
2,"이름 없는 자들의 광장: 정비 1단계 공동 작업 중",""
3,"이름 없는 자들의 광장: 정비 1단계 공동 작업 중",""
4,"이름 없는 자들의 광장: 정비 2단계 준비 중",""
5,"이름 없는 자들의 광장: 정비 2단계 공동 작업 중",""
6,"이름 없는 자들의 광장: 정비 2단계 공동 작업 중",""
7,"이름 없는 자들의 광장: 정비 3단계 준비 중",""
8,"이름 없는 자들의 광장: 정비 3단계 공동 작업 중",""
9,"이름 없는 자들의 광장: 정비 3단계 공동 작업 중",""
10,"창천 거리 '이름 없는 자들의 광장' 완성",""
11,"곡괭이 거리: 정비 1단계 준비 중",""
12,"곡괭이 거리: 정비 1단계 공동 작업 중",""
13,"곡괭이 거리: 정비 2단계 준비 중",""
14,"곡괭이 거리: 정비 2단계 공동 작업 중",""
15,"곡괭이 거리: 정비 3단계 준비 중",""
16,"곡괭이 거리: 정비 3단계 공동 작업 중",""
17,"곡괭이 거리: 정비 3단계 공동 작업 중",""
18,"곡괭이 거리: 정비 4단계 준비 중",""
19,"곡괭이 거리: 정비 4단계 공동 작업 중",""
20,"곡괭이 거리: 정비 4단계 공동 작업 중",""
21,"성 로엘 광장: 정비 1단계 준비 중",""
22,"성 로엘 광장: 정비 1단계 공동 작업 중",""
23,"성 로엘 광장: 정비 2단계 준비 중",""
24,"성 로엘 광장: 정비 2단계 공동 작업 중",""
25,"성 로엘 광장: 정비 3단계 준비 중",""
26,"성 로엘 광장: 정비 3단계 공동 작업 중",""
27,"성 로엘 광장: 정비 3단계 공동 작업 중",""
28,"성 로엘 광장: 정비 4단계 준비 중",""
29,"성 로엘 광장: 정비 4단계 공동 작업 중",""
30,"새보금자리 거주구: 정비 1단계 준비 중",""
31,"새보금자리 거주구: 정비 1단계 공동 작업 중",""
32,"새보금자리 거주구: 정비 2단계 준비 중",""
33,"새보금자리 거주구: 정비 2단계 공동 작업 중",""
34,"새보금자리 거주구: 정비 3단계 준비 중",""
35,"새보금자리 거주구: 정비 3단계 공동 작업 중",""
36,"새보금자리 거주구: 정비 4단계 준비 중",""
37,"새보금자리 거주구: 정비 4단계 공동 작업 중",""
38,"새보금자리 거주구: 정비 4단계 공동 작업 중",""
39,"새보금자리 거주구: 정비 5단계 준비 중",""
40,"새보금자리 거주구: 정비 5단계 공동 작업 중",""
41,"새보금자리 거주구: 정비 5단계 공동 작업 중",""
42,"새보금자리 거주구: 정비 6단계 준비 중",""
43,"새보금자리 거주구: 정비 6단계 공동 작업 중",""
44,"새보금자리 거주구: 정비 6단계 공동 작업 중",""
45,"새보금자리 거주구: 정비 7단계 준비 중",""
46,"새보금자리 거주구: 정비 7단계 공동 작업 중",""
47,"새보금자리 거주구: 정비 7단계 공동 작업 중",""
48,"창천 거리 '새보금자리 거주구' 완성",""
