key,0,1,2,3,4,5,6,7,8,9
#,Name,,Action[0],Action[1],Action[2],Action[3],,,,
int32,str,sbyte,Action,Action,Action,Action,uint16,uint16,uint16,bit&01
0,"",0,0,0,0,0,0,0,0,True
1,"할로네의 분노 콤보",0,17355,0,0,0,0,0,0,False
2,"제왕의 권위 콤보",0,17355,0,0,0,0,0,0,False
3,"휘도는 도끼 콤보",0,17355,0,0,0,0,0,0,False
4,"폭풍 쐐기 콤보",0,17355,0,0,0,0,0,0,False
5,"대참격 콤보",0,17355,0,0,0,0,0,0,False
6,"흡혼검 콤보",0,17355,0,0,0,0,0,0,False
7,"붕권 콤보",0,17355,0,0,0,0,0,0,False
8,"파쇄권 콤보",1,17355,0,0,0,0,0,0,False
9,"용의 꼬리 콤보",0,17355,0,0,0,0,0,0,False
10,"용의 꼬리 콤보",1,17355,0,0,0,0,0,0,False
11,"칼날 선풍 콤보",0,17355,0,0,0,0,0,0,False
12,"그림자 송곳니 콤보",1,17355,0,0,0,0,0,0,False
13,"설풍 콤보",0,17355,0,0,0,0,0,0,False
14,"월광 콤보",1,17355,0,0,0,0,0,0,False
15,"화차 콤보",2,17355,0,0,0,0,0,0,False
16,"직선 사격 콤보",0,17355,0,0,0,0,0,0,False
17,"폭풍 화살 콤보",0,17355,0,0,0,0,0,0,False
18,"열정밀탄 콤보",0,17355,0,0,0,0,0,0,False
19,"인르두블망 콤보",0,17355,0,0,0,0,0,0,False
20,"곧은 총열 콤보",0,17355,0,0,0,0,0,0,False
21,"악랄한 갈퀴 콤보",2,17355,0,0,0,0,0,0,False
22,"파운틴 콤보",0,17355,0,0,0,0,0,0,False
23,"무모한 검격 콤보",0,16788,16269,16984,0,0,0,0,False
24,"장대한 개기식 콤보",1,16789,16985,0,0,0,0,0,False
25,"곧은 총열 콤보",0,16434,16418,16435,0,0,0,0,False
26,"커르다스의 고통 콤보",0,18772,18773,18774,0,0,0,0,False
27,"홍염 콤보",1,17355,0,0,0,0,0,0,False
28,"강철 회오리 콤보",1,17355,0,0,0,0,0,0,False
29,"불굴의 영혼 콤보",1,17355,0,0,0,0,0,0,False
30,"지열참 콤보",1,17355,0,0,0,0,0,0,False
31,"커르다스의 고통 콤보",1,17355,0,0,0,0,0,0,False
32,"팔괘무인살 콤보",1,17355,0,0,0,0,0,0,False
33,"화차 콤보",0,17355,0,0,0,0,0,0,False
34,"앵화 콤보",1,17355,0,0,0,0,0,0,False
35,"악마의 살육 콤보",1,17355,0,0,0,0,0,0,False
36,"블레이드 샤워 콤보",1,17355,0,0,0,0,0,0,False
37,"야월 콤보",0,14840,19046,19047,0,0,0,0,False
38,"에테르 사브르 콤보",0,20490,20491,20492,0,0,0,0,False
39,"버플레어 콤보",0,20529,20530,20531,20532,0,0,0,False
40,"금지된 언어 콤보",0,21612,22502,22817,21613,0,0,0,False
41,"왕의 검 콤보",0,21499,21607,0,0,0,0,0,False
42,"살리아크의 두루마리 콤보",1,24066,21610,0,0,0,0,0,False
43,"작열화 콤보",1,24917,24918,24919,24920,21496,21923,24831,False
44,"할로네의 분노 콤보",0,26249,26250,26251,0,0,0,0,False
45,"버플레어 콤보",0,27048,27049,27050,27051,27052,0,0,False
46,"작열화 콤보",1,27054,27055,27056,27057,27058,27059,24898,False
47,"곧은 총열 콤보",0,27427,27428,27429,0,0,0,0,False
48,"지옥 낫질 콤보",0,17355,0,0,0,0,0,0,False
49,"악몽의 낫 콤보",1,17355,0,0,0,0,0,0,False
50,"제왕의 권위 콤보",0,29058,29059,29060,0,0,0,0,True
51,"폭풍 쐐기 콤보",0,29074,29075,29076,0,0,0,0,True
52,"흡혼검 콤보",0,29085,29086,29087,0,0,0,0,True
53,"파열격 콤보",0,29098,29099,29100,29101,0,0,0,True
54,"파운틴 콤보",0,29416,29417,0,0,0,0,0,True
55,"몽환투무 콤보",0,29475,29476,29477,41444,41445,41446,29478,True
56,"운증용변 콤보",0,29486,29487,29488,41449,0,0,0,True
57,"칼날 선풍 콤보",0,29500,29501,29502,0,0,0,0,True
58,"화차 콤보",0,29523,29524,29525,0,0,0,0,True
59,"지옥 낫질 콤보",0,29538,29539,29540,0,0,0,0,True
60,"신사의 분노 콤보",0,31393,31394,31395,0,0,0,0,True
61,"지옥 낫질 콤보",0,31786,31787,31788,0,0,0,0,True
62,"악몽의 낫 콤보",0,31789,31790,0,0,0,0,0,True
63,"브라샤의 꼬리 콤보",0,37120,37121,37122,0,0,0,0,True
64,"투랄의 준엄함 콤보",0,37127,37128,37126,0,0,0,0,True
65,"송곳니 콤보",0,39157,39159,39161,39158,39160,39163,0,True
66,"",0,0,0,0,0,0,0,0,False
