key,0,1,2,3,4,5,6
#,Name,Description,,,,,
int32,str,str,byte,byte,bit&01,byte,int32
0,"","",0,0,False,0,0
1,"무작위 규칙","규칙이 무작위로 선택됩니다.",0,0,False,0,0
2,"모두 공개","서로 모든 카드를 공개합니다.",3,0,False,0,1000
3,"3장 공개","각자 무작위로 선택된 카드 3장을 공개합니다.",2,0,False,0,1166
4,"동수","마주보는 숫자가 동시에 2면 이상 일치할 경우, 해당하는 인접 카드를 모두 지배합니다.",0,0,False,0,666
5,"연장전","대결이 무승부로 끝나면, 각자가 지배했던 카드로 덱을 구성하여 재대결합니다.",0,0,True,0,1333
6,"합산","마주보는 숫자의 합이 동시에 2면 이상 일치하면 해당하는 인접 카드를 모두 지배합니다.",0,0,False,0,666
7,"무작위 패","각자 자신의 카드 목록에 등록된 모든 카드 중에서 무작위로 선택된 5장으로 대결을 시작합니다.",15,0,True,0,1000
8,"순서대로","덱에 넣은 순서대로 카드를 사용해야 합니다.",9,15,False,0,1666
9,"무작위 순서","무작위로 지정된 순서대로 카드를 사용해야 합니다.",8,0,False,0,1433
10,"역전","상대 카드보다 숫자가 낮아야 지배할 수 있습니다.",0,0,False,0,1000
11,"에이스 약화","A를 1로 지배할 수 있습니다. '역전'이 적용된 경우 1을 A로 지배할 수 있습니다.",0,0,False,0,666
12,"유형 강화","같은 유형의 카드가 배치된 매수만큼 해당 유형의 카드 숫자가 높아집니다.",13,0,False,0,1000
13,"유형 약화 ","같은 유형의 카드가 배치된 매수만큼 해당 유형의 카드 숫자가 낮아집니다.",12,0,False,0,1000
14,"카드 교환","서로의 덱에서 무작위로 카드 1장을 주고받은 후 대결을 시작합니다.",0,0,False,0,1666
15,"카드 선발","무작위로 제시되는 카드로 덱을 구성하여 대결합니다.",7,8,False,0,1000
