key,0,1,2,3,4,5,6
#,,Image,,,,Name,Description
int32,uint32,Image,byte,byte,uint32,str,str
0,0,0,0,0,0,"",""
1,521,70615,3,2,0,"케텐람 블라우퓌스췬","림사 로민사 출신 탐험가. 제6성력 1497년, 10대라는 어린 나이에 탐험대를 이끌게 된 그는 서쪽 바다를 돌아 동방을 탐험하고자 출항한다. 대항해 끝에 원래 가려던 곳이 아닌 투랄 대륙에 도착한다. 그 후 내륙을 탐험하다가 마무크를 방문했을 때 당시 연왕을 알현하게 되고, 젊은 굴루쟈쟈와 친분을 쌓아 수많은 모험을 함께하게 된다. 나이를 먹어도 탐구심은 건재해, 죽음의 삼각해역 탐사를 계획하고 주도하게 된다."
2,507,70601,2,1,11606900,"신기루 마을","초승달 섬 동쪽 끝에 고즈넉이 자리 잡은 작은 마을. 석조 건축물은 낡았지만 붕괴하지는 않아, 누군가 이 장소를 관리하고 있었다고 짐작할 수 있다. 그러나 주민도 생활한 흔적도 보이지 않는 등 수수께끼가 많다. 또한 근해에는 섬을 떠나려다가 실패했는지 부자연스러운 모습으로 침몰한 배가 몇 척이나 있어, '발견하면 되돌아 나올 수 없다'라는 뱃사람들의 소문에 현실성을 더하고 있다."
3,522,70616,3,2,0,"아카이브","신기루 마을에 놓여 있던 기묘한 석관에서 나타난 이형의 존재. 전설의 마물 '톤베리'와 닮았지만, 이성이 있으며 호의적인 태도를 보인다. 또한 '만물박사 영감님'을 자처하고 있으나, 오랜 잠에서 깨어난 직후라 정신이 없는 건지 아니면 어떤 봉인이 걸린 건지, 지금은 그 지식을 펼치기가 어려운 모양이다. 초승달 섬을 조사하려는 모험가와 케텐람을 돕겠다고 자청해, 함께 행동하게 되었다."
4,523,70617,3,2,0,"아이리스","요정형 사역마. 아카이브가 깨어난 직후 나타나, 그의 지식은 봉인되어 있기에 모험가가 직접 보고 알게 된 일에 대해서만 말할 수 있다고 알려주었다. 사명이 무어냐고 물어도 ""모른다""라고 대답하는 등 그녀 자신에게도 명확하지 않은 부분이 많지만, 아카이브에 따르면 아이리스에게서 초승달 섬 전역을 뒤덮은 마법 결계와 동일한 에테르가 느껴진다고 한다. 아무래도 섬을 다스리는 존재가 그녀를 소환했을 가능성이 높은 듯하다."
5,508,70602,2,1,11606902,"탐사대 거점","탐사대가 초승달 섬 남부에서 활동하기 위해 설치한 거점. 관문으로 이용하던 곳이었는지 원탑과 문, 간이 벽까지 만들어져 있어 마물이 침입할 위험이 적다. 에테라이트 역할을 하는 마도 통로가 남아 있기도 해, 탐사대가 거점으로 삼기에 적합한 장소였다. 건축 양식은 신기루 마을과 비슷하지만 누가 언제 만들었는지는 알 수 없다. 옛날에는 이곳에도 많은 섬 주민이 오갔던 것일까."
6,536,70630,5,4,0,"서포트 잡","초승달 섬에 남아 있던 결정 조각, 통칭 '소울 샤드'로 계승할 수 있는 고대의 전투 기술과 마법 체계. 섬 전체에 펼쳐진 마법 결계와 연동된 듯하며, 섬 바깥으로 이 지식을 가지고 나갈 수 없다. 반대로 말하자면, 섬 안이라면 이 결정 조각에서 끌어낸 옛 전사와 마법사들의 기억을 일시적으로 계승해 그들의 기술이나 마법을 사용할 수 있다. 아카이브의 권유로 섬을 탐사할 때 활용하게 되었다."
7,509,70603,2,1,11606904,"원개 성채","크고 작은 돌로 쌓아 올린 거대한 성채. 초승달 섬에서 확인된 많은 유적과 마찬가지로 주민들은 보이지 않으며, 구석구석에 오랜 세월을 거쳐온 흔적이 보인다. 마름모꼴 격자무늬를 주로 사용한 장식이나 특징적인 반구형 지붕 등, 건축 양식에 검은장막 숲에서 발견된 마법도시 '암다포르' 유적과 공통점이 많다. 또한 이 건물을 지키듯이 돌아다니는 사역마 중에 석상 형태가 많은 점도 암다포르 문명의 특징과 일치한다."
8,530,70624,4,3,0,"동전거북","대형 육지거북이 본체로 추정되는 사역마. 마법으로 인간의 말을 이해할 수 있는 지혜를 갖게 된 것인지, 만난 자에게 거래를 강요한다. 심지어 이 거북이 팔려는 것은 저주가 담긴 물건이라 귀찮기 짝이 없다. 섬 주인이 왜 이런 사역마를 창조한 것인지 의도는 알 수 없으나, 적어도 '저주'에 관련이 있다는 점에서는 과거 기라바니아에서 번성했던 스칼라 문명과의 연관성을 지적할 수 있을 것이다."
