key,0,1,2,3
#,Name,ENPC,,
int32,str,ENpcResident,byte,byte
0,"",0,0,0
1,"",0,0,0
2,"자재가 충분히 모여 부흥 공동 작업을 개시합니다.
부흥 사업 게시판에서 작업 개시 시각을 확인하세요.",0,0,8
3,"다음 작업만 마치면 1단계 구역의 시설이 완성된다!
개시 시각은 부흥 사업 게시판에서 확인해 줘!",1032493,3,8
4,"정비 계획 1단계가 완료되었다. 수고했어!
정비 계획 2단계를 위해 또 자재를 납품해주길 바란다!",1032493,3,8
5,"자재가 충분히 모여 부흥 공동 작업을 개시합니다.
부흥 사업 게시판에서 작업 개시 시각을 확인하세요.",0,0,8
6,"다음 작업만 마치면 2단계 구역의 시설이 완성된다!
개시 시각은 부흥 사업 게시판에서 확인해 줘!",1032493,3,8
7,"정비 계획 2단계가 완료되었다. 수고했어!
정비 계획 3단계를 위해 또 자재를 납품해주길 바란다!",1032493,3,8
8,"자재가 충분히 모여 부흥 공동 작업을 개시합니다.
부흥 사업 게시판에서 작업 개시 시각을 확인하세요.",0,0,8
9,"다음 작업만 마치면 3단계 구역의 시설이 완성된다!
개시 시각은 부흥 사업 게시판에서 확인해 줘!",1032493,3,8
10,"'이름 없는 자들의 광장' 정비 계획이 모두 완료되었다!
다들 수고했어!!",1032493,8,8
