key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,Model,Scale,InactiveIdle[0],InactiveIdle[1],InactiveBattle,InactiveWandering,Behavior,Special,WanderingWait,Priority,Roulette,,Battle,LookAt,Poke,Enemy,Stroke,Clapping,Icon,Order,,,Cost,HP,,Skill{Angle},Skill{Cost},,,MinionRace
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,ModelChara,byte,byte,byte,byte,byte,CompanionMove,byte,byte,uint16,bit&01,bit&02,bit&04,bit&08,bit&10,uint16,bit&20,bit&40,Image,uint16,bit&80,byte,byte,uint16,byte,uint16,byte,byte,uint16,MinionRace
0,"",0,"",0,0,1,0,0,0,100,0,0,0,0,0,0,8,0,False,False,False,False,False,0,False,True,0,0,False,0,10,100,0,0,20,0,0,0
1,"꼬마 봄",0,"",0,0,1,0,0,427,100,30,0,0,0,2,0,8,1,True,False,True,False,False,0,False,True,4503,1001,True,0,10,390,5,360,30,1,600,2
2,"자동인형 001",0,"",0,0,1,0,0,419,100,30,0,0,0,1,0,8,200,False,True,False,False,False,0,False,True,4501,10001,True,0,10,410,37,0,20,1,620,3
3,"초코초코보",0,"",0,0,1,0,0,423,100,30,0,30,0,2,0,8,3,True,False,True,False,True,0,False,True,4502,1,True,0,15,410,23,30,20,1,601,1
4,"캐트시 인형",0,"",0,0,1,0,0,430,100,30,0,0,0,1,0,8,201,False,True,False,False,False,0,False,True,4504,10006,True,0,20,400,25,360,20,1,625,3
5,"베이비모스",0,"",0,0,1,0,0,428,100,30,0,0,0,2,0,8,5,True,False,True,False,True,0,False,True,4505,1002,True,90,15,430,1,30,20,1,601,2
6,"자동인형 003L",0,"",0,0,1,0,0,420,100,30,0,0,0,1,0,8,200,False,True,False,False,False,0,False,True,4506,10002,True,0,10,365,14,30,20,1,607,3
7,"자동인형 003G",0,"",0,0,1,0,0,421,100,30,0,0,0,1,0,8,200,False,True,False,False,False,0,False,True,4507,10003,True,0,10,280,25,360,20,1,625,3
8,"자동인형 003U",0,"",0,0,1,0,0,422,100,30,0,0,0,1,0,8,200,False,True,False,False,False,0,False,True,4508,10004,True,0,10,420,13,120,20,1,631,3
9,"흑와단 초코초코보",0,"",0,0,1,0,0,424,100,30,0,30,0,2,0,8,3,True,False,True,False,True,0,False,True,4509,2,True,0,10,315,19,30,30,1,601,1
10,"쌍사당 초코초코보",0,"",0,0,1,0,0,425,100,30,0,30,0,2,0,8,3,True,False,True,False,True,0,False,True,4510,3,True,0,10,350,30,360,20,1,623,1
11,"불멸대 초코초코보",0,"",0,0,1,0,0,426,100,30,0,30,0,2,0,8,3,True,False,True,False,True,0,False,True,4511,4,True,0,10,320,26,120,20,1,622,1
12,"몰볼 묘목",0,"",0,0,1,0,0,429,100,30,0,0,0,2,0,8,6,True,False,True,False,False,0,False,True,4512,1003,True,0,30,560,20,120,20,1,602,2
13,"꼬마 청설모",0,"",0,0,1,0,0,431,100,30,0,0,0,2,0,8,7,True,False,False,False,True,0,False,True,4513,1004,True,0,10,400,14,120,20,1,622,1
14,"애송이버섯",0,"",0,0,1,0,0,432,100,30,0,0,0,2,0,8,8,True,False,False,True,False,0,False,True,4514,1005,True,0,10,395,4,120,20,1,602,2
15,"벼룩모기 유충",0,"",0,0,1,0,0,433,100,30,0,0,0,2,0,8,9,True,False,True,True,False,0,False,True,4515,1006,True,130,10,420,9,0,20,1,620,1
16,"파랑새",0,"",0,0,1,0,0,434,80,30,0,0,0,2,3,8,10,True,False,True,False,True,0,False,True,4516,5001,True,100,15,460,1,120,20,1,605,1
17,"꼬마 영양",0,"",0,0,1,0,0,435,100,20,10,0,30,2,0,8,11,True,False,False,False,True,0,False,True,4517,1007,True,0,15,400,22,360,20,2,632,1
18,"아기 임프",0,"",0,0,1,0,0,436,100,20,10,0,0,2,0,8,12,True,False,False,False,True,0,False,True,4518,1008,True,0,20,380,1,120,20,2,608,2
19,"꼬마 커얼",0,"",0,0,1,0,0,437,85,10,10,0,0,2,0,8,13,True,False,True,False,True,35,True,True,4552,1009,True,0,10,365,1,30,30,3,603,1
20,"검은 커얼",0,"",0,0,1,0,0,438,75,10,10,0,0,2,0,8,13,True,False,True,False,True,35,True,True,4614,1010,True,0,15,380,31,0,30,3,620,1
