key,0,1,2
#,Description,Description{Enhanced},Tooltip
int32,str,str,str
0,"","",""
1,"내 초코보에 올라탑니다.
총사령부에서 지급된 군용 초코보.","이슈가르드산 군용 초코보. 일반적인 라운시 종을 비롯하여, 루가딘족이 타도 버틸 수 있는 커다란 데스트리어 종과 라라펠족을 위해 품종개량된 벨라흐디아 제니트 종 등이 있다.","꾸에엑!"
2,"","",""
3,"","",""
4,"구부에 올라탑니다.
신기한 뿔피리로 불러내는 구부.","떠돌이 시인이 모험가에게 감사의 표시로 준 '마법의 뿔피리'로 불러낼 수 있는 구부. 원래 성격이 온화한 마물이 아니지만, 에오르제아에 찾아온 시인의 노래에 반해 함께 여행하고 있었다.","으거어어어"
5,"레거시 초코보에 올라탑니다.
시간을 넘어서 만난 명초코보.","현자 루이수아의 비술로 차원의 틈새에 들어갔던 모험가가 5년의 시간을 넘어서 만난 명초코보. 오랫동안 주인 없이 방랑해서 그런지 믿음직하고 독특한 품격을 갖추었다.","꾸에엑!!"
6,"마도 아머에 올라탑니다.
시드가 개량한 갈론드 아이언웍스판 기체.","갈레말 제국군이 제식 채택한 탑승형 마도 아머 '리퍼'. 이를 노획한 시드와 직원들이 마법인형의 핵을 제어장치로 집어넣는 등, 갈론드 아이언웍스의 방식으로 개조하여 새롭게 탄생시켰다.","위잉, 철컹!"
7,"","",""
8,"커얼에 올라탑니다.
잘 훈련된 젊고 민첩한 커얼.","젊고 민첩한 커얼. 야생 커얼은 매우 사나운 마수로 잘 알려져 있지만, 원산지인 근동에서는 독자적인 훈련법이 확립되어 있다고 한다. 이 개체는 사베네어 섬에서 탑승용으로 훈련되었다고 한다.","으르르릉…"
9,"아리만에 올라탑니다.
마법으로 조종할 수 있게 만든 요마 아리만.","날개 달린 외눈박이 마물. 요마학자의 분류에 따르면, 요마 12계급 중 제5위에 해당하는 중급 요마라고 한다. 동물의 눈을 바쳐 이계에서 소환한 다음 강력한 주술로 속박하여 조종할 수 있게 만들었다.","희번덕!"
10,"","",""
11,"","",""
12,"","",""
13,"","",""
14,"","",""
