key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
#,,,,,,,,,,,,,,,,
int32,str,byte,single,single,bit&01,single,single,single,single,single,single,single,single,single,single,single
0,"표준",1,0,0,False,0,0,0,0,0,0,0,0,0,0,1
1,"회상",60,0,-0.2,False,-0.2,0,0,0.6,0,0,0,0,0,0,1
2,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
3,"세피아 1",5,0,0,False,-0.3,0,0,1,-0.2,0,0,0,0,0.1,0.9
4,"흑백 1",10,0,0,False,0,0,1,0,0,0,0,0,0,0,1
5,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
6,"환하게 1",15,0,0,False,0,0,-0.2,0,-0.2,0.1,0,0.1,0,0,1
7,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
8,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
9,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
10,"색조 분리 1",20,0,0,False,0,0,0.5,0.2,0,0,0,0,0,0.5,0.5
11,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
12,"색조 분리 2",21,0,0,False,0,0,1,0,0,0,0,0,0,0.9,0
13,"색연필",30,0,0,False,0.1,-0.3,-0.1,0.2,0,0,0,0,-0.2,0.4,0.6
14,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
15,"파스텔 1",50,0,0,False,0.1,-0.3,0,0.2,-0.1,0.6,0.6,0.6,-0.2,0.1,0.4
16,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
17,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
18,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
19,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
20,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
21,"에테르 측정기",61,0,0,False,0,0,-1,-0.8,1,1,0.7,0.3,1,0.3,1
22,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
23,"환하게 3",17,0,0.2,False,-0.1,0,0.2,0,0.4,0.8,0.8,1,0,0.2,0.8
24,"세피아 2",6,0,-1,False,0,0.1,-0.2,0,0.2,0.9,0.3,0,0,0.2,0.8
25,"흑백 2",11,0,0,False,0,0,1,0,0,0,0,0,0,0.5,1
26,"파스텔 2",51,0,-0.4,True,0,-0.2,0,0,0,0,0,0,0,0.1,0.3
27,"환하게 2",16,0,0.6,True,0,0,0.2,-0.6,0.4,0.8,0.6,0.4,0.1,0.2,0.6
28,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
29,"색사인펜 1",40,0,0,True,-0.2,0.6,0.2,-0.3,0,0,0,0,0,0,0.4
30,"연필",35,0,0,False,0,0,1,-0.2,0,0,0,0,0,0.4,0.7
31,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
32,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
33,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
34,"특수효과 강조",70,0,0,True,-0.2,-0.2,0,0,0,0,0,0,0,0.25,0.5
35,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
36,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
37,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
38,"단일 색조 1",55,0,-1,True,0,0.2,0,0,0.2,0.9,0.1,0.5,0,0.1,0.9
39,"단일 색조 2",56,0,-1,False,0,0.1,0,-0.2,0.2,0.1,0.4,0.1,0,0.1,0.9
40,"단일 색조 3",57,0,-1,False,0,0.1,-0.2,0,0.3,0.1,0.4,1,0,0.1,0.9
41,"환하게 4",18,0,0.6,True,0,0,0.2,-0.6,0.4,0.7,0.6,0.5,0,0,0.8
42,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
43,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
44,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
45,"파스텔 3",52,0,0,False,0.1,-0.3,-0.2,0.2,-0.2,0.7,0.7,0.7,-0.2,0.1,0.4
46,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
47,"색사인펜 2",42,0,-0.2,True,-0.2,0.4,0.4,-0.3,0,0,0,0,0,0,0.35
48,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
49,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
50,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
51,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
52,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
53,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
54,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
55,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
56,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
57,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
58,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
59,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
60,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
