key,0
#,Name
int32,str
0,""
1,""
2,"레벨 50~60"
3,"레벨 61~70"
4,"레벨 71~80"
5,"레벨 50~60"
6,"레벨 61~70"
7,"레벨 71~80"
8,"레벨 50~60"
9,"레벨 61~70"
10,"레벨 71~80"
11,"레벨 50~60"
12,"레벨 61~70"
13,"레벨 71~80"
14,"레벨 50~60"
15,"레벨 61~70"
16,"레벨 71~80"
17,"레벨 50~60"
18,"레벨 61~70"
19,"레벨 71~80"
20,"레벨 50~60"
21,"레벨 61~70"
22,"레벨 71~80"
23,"레벨 50~60"
24,"레벨 61~70"
25,"레벨 71~80"
26,"레벨 50~60"
27,"레벨 61~70"
28,"레벨 71~80"
29,"레벨 50~60"
30,"레벨 61~70"
31,"레벨 71~80"
32,"레벨 50~60"
33,"레벨 61~70"
34,"레벨 71~80"
35,"목공도구 개량용 부재 교환"
36,"대장장이도구 개량용 부재 교환"
37,"갑주제작도구 개량용 부재 교환"
38,"보석공예도구 개량용 부재 교환"
39,"가죽공예도구 개량용 부재 교환"
40,"재봉도구 개량용 부재 교환"
41,"연금도구 개량용 부재 교환"
42,"요리도구 개량용 부재 교환"
43,""
44,""
45,""
46,""
47,""
48,""
49,""
50,""
51,""
52,""
53,""
54,""
55,""
56,""
57,""
58,""
59,""
60,""
