key,0,1,2,3,4,5,6,7,8,9
#,Quest,,Category,,QuestRedoUISmall,QuestRedoUILarge,QuestRedoUIWide,ChapterName,ChapterPart,Transient
int32,Quest,byte,QuestRedoChapterUICategory,byte,Image,Image,Image,str,str,str
0,0,0,0,0,0,0,0,"","",""
1,0,0,0,0,0,0,0,"","",""
2,0,0,0,0,0,0,0,"","",""
3,0,0,0,0,0,0,0,"","",""
4,0,0,0,0,0,0,0,"","",""
5,0,0,0,0,0,0,0,"","",""
6,0,0,0,0,0,0,0,"","",""
7,67205,1,1,0,113801,113601,113701,"창천의 이슈가르드 1","","모래전갈회의 로로리토가 꾸민 계략으로 '새벽의 혈맹'은 희망을 잃고 말았다.
명예가 실추된 영웅은 실의에 빠진 알피노와 함께 북방의 '커르다스'로 향한다.
하지만 그곳을 다스리는 종교도시 '이슈가르드'에서는
천년이라는 긴 세월에 걸친 드래곤족과의 싸움, 용시전쟁이 계속되고 있었다."
8,67205,1,1,0,113802,113602,113702,"창천의 이슈가르드 2","","드래곤족의 영역을 찾아가 성룡 '흐레스벨그'와 만난 일행은
용시전쟁의 시작에 감춰져 있던 역사의 진실을 알게 된다.
과거에는 함께 어우러져 살았던 인간과 용, 그리고 인간 왕의 배신과 대립……
비극의 연쇄를 멈추기 위해, 빛의 전사는 푸른 용기사와 함께 사룡 사냥에 도전한다."
9,67783,1,1,0,113803,113603,113703,"용시전쟁 완결편","","수많은 희생을 치르며 빛의 전사 일행은 '아지스 라'에서 벌어진 결전에서 승리,
전쟁의 악순환을 일부 끊어내는 데에 성공했다.
그러나 모든 싸움이 끝난 것은 아니었다…….
이슈가르드의 앞날에 고난이 기다리고 있다는 것은 자명한 사실이었다."
10,67895,1,1,0,113804,113604,113704,"용시전쟁 전후편","","구름길의 결전에서 이겨, 사룡 '니드호그'의 그림자를 물리쳤다.
이리하여 천년이라는 긴 세월에 걸친 용시전쟁은 마침내 종결되었다.
끝은 새로운 시작을 고하는 법.
이제부터는 백작의 회고록에 적히지 않을 이야기이다……."
11,68089,1,2,0,113805,113605,113705,"홍련의 해방자 1","","갈레말 제국의 손아귀에서 알라미고를 해방시키고자
진군을 개시하는 에오르제아 동맹군.
한편, 같은 때 동주 오사드 소대륙에서도 반격의 봉화가 타오르려 하고 있었다.
빛의 전사의 모험은 이윽고 에오르제아 지역을 벗어나 동방에 이른다."
12,68089,1,2,0,113806,113606,113706,"홍련의 해방자 2","","홍옥해 모험을 거쳐, 빛의 전사 일행은
과거 도마가 다스렸던 '얀샤'에서 다시금 제국 지배의 실정을 마주한다.
대리 총독 '요츠유'의 탄압에 괴로워하는 사람들을 구할 비책을 찾아
빛의 전사 일행은 도마의 젊은 군주가 숨어 지내는 아짐 대초원으로 향한다."
13,68612,1,2,0,113807,113607,113707,"해방전쟁 전후편 1","","해방, 그것은 지배의 끝이자 새로운 시대의 시작이기도 하다.
그 경계에서 사람들은 과거와 미래를 어떻게 마주할 것인지 선택해야만 한다.
나라를 재건하려 분주히 힘을 쏟는 리세, 어두운 독방에 갇혀 있는 포르돌라,
염원을 이룬 맹장 라우반, 그들이 선택하는 길, 돌아가야 할 곳은……."
14,68721,1,2,0,113808,113608,113708,"해방전쟁 전후편 2","","갈레말 제국 중추에서 암약하는 '제노스의 얼굴을 한 남자'.
그리고 사라진 황태자 제노스의 시신…….
이해할 수 없는 현상의 배후에 혼돈의 사도 아씨엔이 있는 것으로 의심하던 중,
'새벽의 혈맹' 본부인 돌의 집에 한 명의 사절이 찾아온다."
15,69190,1,3,0,113809,113609,113709,"칠흑의 반역자 1","","알라미고와 도마를 갈레말 제국의 지배에서 해방시킨 빛의 전사.
그 한편으로 영웅을 돕던 '새벽'의 현자들이 수수께끼의 목소리를 듣고 쓰러져간다.
김리트 황야에서 타오르던 전쟁의 불꽃이 잠잠해질 무렵,
빛의 전사는 목소리에 이끌려 새로운 세계로 모험을 떠난다……."
16,69190,1,3,0,113810,113610,113710,"칠흑의 반역자 2","","'어둠의 전사' 일행은 라케티카 대삼림에 밤의 어둠을 돌려놓았지만,
아직 노르브란트에는 빛이 넘치는 지역이 적지 않다.
아씨엔 에메트셀크가 알려준 경악스러운 진실을 가슴에 품고,
일행은 다시금 반역의 여행길을 걷게 된다."
17,0,0,0,0,0,0,0,"","",""
18,0,0,0,0,0,0,0,"","",""
19,0,0,0,0,0,0,0,"","",""
20,0,0,0,0,0,0,0,"","",""
21,0,0,0,0,0,0,0,"","",""
22,0,0,0,0,0,0,0,"","",""
23,0,0,0,0,0,0,0,"","",""
24,0,0,0,0,0,0,0,"","",""
25,0,0,0,0,0,0,0,"","",""
26,0,0,0,0,0,0,0,"","",""
27,0,0,0,0,0,0,0,"","",""
28,0,0,0,0,0,0,0,"","",""
29,0,0,0,0,0,0,0,"","",""
30,0,0,0,0,0,0,0,"","",""
31,0,0,0,0,0,0,0,"","",""
32,0,0,0,0,0,0,0,"","",""
33,0,0,0,0,0,0,0,"","",""
34,0,0,0,0,0,0,0,"","",""
35,0,0,0,0,0,0,0,"","",""
36,0,0,0,0,0,0,0,"","",""
37,0,0,0,0,0,0,0,"","",""
38,0,0,0,0,0,0,0,"","",""
39,0,0,0,0,0,0,0,"","",""
40,0,0,0,0,0,0,0,"","",""
41,0,0,0,0,0,0,0,"","",""
42,0,0,0,0,0,0,0,"","",""
43,0,0,0,0,0,0,0,"","",""
44,0,0,0,0,0,0,0,"","",""
45,0,0,0,0,0,0,0,"","",""
46,0,0,0,0,0,0,0,"","",""
47,0,0,0,0,0,0,0,"","",""
48,0,0,0,0,0,0,0,"","",""
49,0,0,0,0,0,0,0,"","",""
50,0,0,0,0,0,0,0,"","",""
51,0,0,0,0,0,0,0,"","",""
52,0,0,0,0,0,0,0,"","",""
53,0,0,0,0,0,0,0,"","",""
