key,0
#,
int32,str
0,""
1,"타타루"
2,"타타루 타루"
3,"새벽의 혈맹
금고지기"
4," '새벽의 혈맹'의 접수원을 맡은 라라펠족 여성. 경리 업무도 겸하기 때문에 '새벽의 금고지기'라고도 불린다.

 울다하의 상인 집안에서 태어나 풍족한 어린 시절을 보내다 파산을 경험했다. 빚쟁이들에게 쫓기는 생활을 하며 '돈이란 무엇인가'를 배운 타타루는 12세부터 보석상에서 잡일을 하며 쥐꼬리만 한 급료로 생계를 꾸려왔다. 그때 원석을 팔러 온 광부였던 민필리아를 알게 되었고, 훗날 그녀가 '열두 기적 조사회'를 설립할 때 경리 담당으로 발탁된다.
 타타루는 단순히 돈을 벌기 위해서가 아니라 사람을 위해 일해보고 싶다는 마음에 민필리아의 제안을 흔쾌히 수락했고, 그 후로 거점 '모래의 집'에서 접수 업무도 맡게 된다. 그러면서 특기인 교섭술을 구사하여 인맥을 넓히고, 신비한 힘을 지닌 자들의 상호 협력 조직이기도 한 이 조직에서 '초월하는 힘'을 지닌 자들을 찾아내는 일에도 공헌했다.

 제7재해를 겪고 '구세시맹'과 합병하여 '새벽의 혈맹'이 설립되고 나서도 접수원 겸 금고지기로서 활약했다. 울다하 정변에 휘말려 새벽이 와해될 뻔했을 때도, 빛의 전사와 알피노와 함께 이슈가르드로 피신하여 조직 재건을 위해 길을 다졌다. 또한 동방 원정에도 동행하여 쿠가네에서 동부 알데나드 상회와 협력 관계를 구축하고, 현지의 반제국 활동을 지원한 일도 칭송받아 마땅하다.

 본인은 오랫동안 전투에 도움을 주지 못한 게 마음에 걸렸는지, 특기인 계산과 일맥상통하는 비술을 수행한 적도 있었다. 그러나 소환한 사역마 '카벙클'이 도망치는 등 뜻대로 되지 않아 그 후에는 광부와 재봉사로서 기술을 닦는 데에 힘을 쏟았고, 일류 장인이라고 말해도 좋을 솜씨를 갖추게 되었다. 그 솜씨를 빛의 전사의 여행복이나 현인들을 위한 장비를 제작하는 데에 유감없이 발휘했으며, 훗날 올드 샬레이안에 '대박 상점'이라는 장비점을 열기에 이른다."
5,"새벽의 혈맹"
6,"새벽의 혈맹"
7," 루이수아 르베유르가 에오르제아를 구하려는 목적으로 설립한 '구세시맹'과, 민필리아 워드가 설립한 '열두 기적 조사회'가 제7재해 이후 합병하는 형태로 만들어진 비밀 결사.

 야만신 문제 해결과 갈레말 제국의 침략 저지, 그리고 역사의 그림자 속에서 암약하는 '아씨엔'에게 대항하는 활동이 주된 목적으로, 에오르제아 각국의 맹주들과도 긴밀하게 연계했다.
 또한 이 문제들을 해결할 실마리로서 '초월하는 힘'이라는 능력을 눈여겨보고, 이 힘을 지닌 자들을 찾아 조직에 끌어들였다. 후에 영웅이라 칭해지는 빛의 전사 또한 '초월하는 힘'의 소유자로서 가입을 권유받았다.

 이들은 야만신 토벌과 제국군 제XIV군단과의 전투에서 활약했다. 공적으로 알려지게 된 후에는 예비통합조직인 '크리스탈 브레이브'를 설립하는 일도 진행했지만, 울다하 공화파와 대립하여 나나모 여왕 암살 혐의를 받아 와해 직전까지 몰렸다. 그러나 왕당파인 라우반과 나나모 여왕이 복권하며 혐의가 풀리고, 알라미고와 도마의 해방에도 크게 공헌했다.

 그 후로 종말에 관계된 사건을 해결하고, 사명을 완수했기에 대외적으로는 해산을 발표, 다시 비밀 결사가 되어 역사의 무대 위에서 모습을 감추었다."
8,"종말의 재앙"
9,"종말의 재앙"
10," 오랜 옛날 '아이테리스'라고 불리던 별을 덮친 파멸적인 재앙.
 당시 사람들은 생명도 창조할 수 있는 '창조 마법'이라는 기적의 술법을 다루며 번영을 누렸다. 그러나 대지가 울리는 기묘한 현상이 일어나고, 창조 마법이 차례차례 폭발하며 공포를 구현한 듯한 기괴한 야수들이 나타난다. 인류는 순식간에 멸망의 늪에 빠졌다.

 인류의 대표자인 14인 위원회는 이 현상이 별의 가장 바깥층을 둘러싼 에테르의 흐름인 '천맥'이 옅은 지역부터 발생했다는 점에 주목하여, 천맥을 다시 생성하고자 새로운 별의 이치가 될 존재 '조디아크'를 소환했다. 이는 남은 인류의 약 절반이나 되는 생명을 제물로 삼아야 할 정도의 대업이었지만, 많은 사람들이 찬성하고 따랐다고 한다.

 이 재앙은 오랫동안 역사에서 잊혔었다. 그러나 현대에 이르러 종말의 재래를 선언한 조직 '텔로포로이'가 활동을 시작함으로써 '새벽의 혈맹'이 조사에 착수했다.
 그 결과, 고대인 '헤르메스'가 생명의 의미를 묻기 위해 별을 건너는 창조 생물 '메테이온'을 하늘로 날려 보낸 것이 재앙을 발생시켰음을 알아냈다. 먼저 멸망한 별들의 절망을 품은 그녀는 '종언을 노래하는 자'가 되었고, 마음으로 작용하는 힘 '뒤나미스'를 사용하여 고통으로 가득찬 삶이 반복되지 않도록 별들을 멸망으로 이끌었던 것이다.

 빛의 전사 일행이 희망을 잇고 이를 해방시킴으로써 종말 또한 끝을 고했다."
11,"에스티니앙"
12,"에스티니앙 발리노"
13,"새벽의 혈맹
용기사"
