key,0,1,2,3,4,5
#,Quest,Text[Long],Text[Short],Text[Commentary],,Section
int32,Quest,str,str,str,bit&01,DescriptionSection
3604480,0,"","","",False,0
3604481,0,"","","",False,0
3604482,68737,"작패유희","작패유희 규칙 설명","",True,2
3604483,0,"경쟁의 날개","경쟁의 날개 규칙 설명","",True,3
3604484,0,"하우징에 대해 물어보기","하우징 설명","",True,4
3604485,0,"임무 다시하기","임무 다시하기","",True,2
3604486,0,"전장","전장 설명","",True,7
3604487,0,"먼바다 낚시","먼바다 낚시 설명","",True,8
3604488,0,"총당님의 환상반","총당님의 환상반 설명","",True,9
3604489,0,"남부 보즈야 전선","남부 보즈야 전선 설명","",True,10
3604490,0,"레지스탕스 랭크","레지스탕스 랭크 설명","",True,11
3604491,0,"로스트 기술","로스트 기술 설명","",True,13
3604492,0,"보즈야 클러스터","보즈야 클러스터 설명","",True,12
3604493,0,"트리플 트라이어드 토너먼트","트리플 트라이어드 토너먼트 설명","",True,14
3604494,0,"","","",True,15
3604495,0,"","","",True,16
3604496,0,"저항군 훈장","저항군 훈장 설명","",True,17
3604497,0,"자트노르 고원 전선","자트노르 고원 설명","",True,18
