key,0,1,2,3,4,5,6,7
#,,Image,GridText,,,,,Text
int32,int32,Image,str,int32,uint32,byte,int32,str
0,0,0,"",0,0,0,0,"미설정"
1,3,0,"",12,0,2,0,"★ 액자"
2,3,0,"",22,0,4,0,"★ 즉석 카메라"
3,3,0,"",32,0,6,0,"★ 시네마스코프"
4,3,0,"",18,0,100,0,"★ 귀퉁이 액자"
5,3,0,"",30,0,101,0,"★ 상하 장식 1"
6,3,0,"",31,0,102,0,"★ 상하 장식 2"
7,3,0,"",29,0,103,0,"★ 벽걸이 액자"
8,3,0,"",13,0,104,0,"★ 가장자리 찢기"
9,0,0,"",0,0,0,0,""
10,0,0,"",0,0,0,0,""
11,0,0,"",0,0,0,0,""
12,0,0,"",0,0,0,0,""
13,0,0,"",0,0,0,0,""
14,0,0,"",0,0,0,0,""
15,0,0,"",0,0,0,0,""
16,0,0,"",0,0,0,0,""
17,1,230001,"",0,0,10,0,"◆ 단순 1"
18,1,230002,"",0,255,50,0,"◆ 퀘스트"
19,1,230003,"",0,255,51,0,"◆ 영원한 언약식"
20,1,230004,"",0,255,52,0,"◆ 마물 사냥 1"
21,2,0,"GroupPoseFrame9grid001",0,255,1,0,"◆ 액자"
22,2,0,"GroupPoseFrame9grid002",0,255,3,0,"◆ 즉석 카메라"
23,2,0,"GroupPoseFrame9grid003",0,255,5,0,"◆ 시네마스코프"
24,1,230005,"",0,255,53,0,"◆ 마물 사냥 2"
25,1,230006,"",0,2069202175,54,0,"◆ 트리플 트라이어드 카드 1"
26,1,230007,"",0,2069202175,55,0,"◆ 트리플 트라이어드 카드 2"
27,1,230008,"",0,255,11,0,"◆ 단순 2"
28,1,230011,"",0,255,56,0,"◆ 림사 로민사 내벽"
29,1,230009,"",0,255,57,0,"◆ 그리다니아 내벽"
30,1,230010,"",0,255,58,0,"◆ 울다하 내벽"
31,0,0,"",0,0,0,0,""
32,0,0,"",0,0,0,0,""
33,0,0,"",0,0,0,0,""
34,0,0,"",0,0,0,0,""
35,0,0,"",0,0,0,0,""
36,0,0,"",0,0,0,0,""
37,0,0,"",0,0,0,0,""
38,1,230012,"",0,255,12,0,"◆ 단순 3"
39,0,0,"",0,0,0,0,""
40,0,0,"",0,0,0,0,""
41,0,0,"",0,0,0,0,""
42,0,0,"",0,0,0,0,""
43,0,0,"",0,0,0,0,""
44,0,0,"",0,0,0,0,""
45,0,0,"",0,0,0,0,""
46,1,231041,"",0,255,180,120,"◆ <Gui(112)/>팬페스티벌 특제 액자 1"
47,1,231042,"",0,255,181,120,"◆ <Gui(112)/>팬페스티벌 특제 액자 2"
48,1,231043,"",0,255,182,120,"◆ <Gui(112)/>팬페스티벌 특제 액자 3"
49,1,231044,"",0,255,183,120,"◆ <Gui(112)/>팬페스티벌 특제 액자 4"
50,1,231045,"",0,255,184,120,"◆ <Gui(112)/>팬페스티벌 특제 액자 5"
51,1,231046,"",0,255,185,120,"◆ <Gui(112)/>팬페스티벌 특제 액자 6"
52,1,231047,"",0,255,186,120,"◆ <Gui(112)/>팬페스티벌 특제 액자 7"
53,1,230013,"",0,255,61,0,"◆ 악보"
54,1,230014,"",0,2058672639,59,0,"◆ 무인도 1"
55,1,230015,"",0,2058672639,60,0,"◆ 무인도 2"
56,0,0,"",0,0,0,0,""
57,0,0,"",0,0,0,0,""
58,0,0,"",0,0,0,0,""
59,0,0,"",0,0,0,0,""
60,0,0,"",0,0,0,0,""
61,0,0,"",0,0,0,0,""
62,0,0,"",0,0,0,0,""
63,0,0,"",0,0,0,0,""
64,0,0,"",0,0,0,0,""
65,0,0,"",0,0,0,0,""
66,1,127958,"",0,255,255,0,"◆ 패치 로고"
67,1,230016,"",0,255,15,0,"◆ 흰색 레이스"
68,1,230017,"",0,255,16,0,"◆ 검은색 레이스"
69,1,230018,"",0,255,13,0,"◆ 배색 1"
70,1,230019,"",0,255,14,0,"◆ 배색 2"
71,1,230020,"",0,255,17,0,"◆ 귀퉁이 장식 1"
72,1,230021,"",0,255,18,0,"◆ 귀퉁이 장식 2"
73,1,230022,"",0,255,22,0,"◆ 네온 액자 1"
74,1,230023,"",0,255,23,0,"◆ 네온 액자 2"
75,1,230024,"",0,255,21,0,"◆ 생일"
76,1,230025,"",0,255,62,0,"◆ 에테르"
77,1,230026,"",0,255,20,0,"◆ 화면"
