key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
23,13,"검술사: 레벨 50","검술사 레벨 50 달성",5,0,0,30408,3,3,1,50,0,0,0,0,0,0,0,5,1,0
24,13,"격투사: 레벨 10","격투사 레벨 10 달성",5,0,0,31004,3,3,2,10,0,0,0,0,0,0,0,21,1,0
25,13,"격투사: 레벨 20","격투사 레벨 20 달성",5,0,0,31004,3,3,2,20,0,0,0,0,0,0,0,22,1,0
26,13,"격투사: 레벨 30","격투사 레벨 30 달성",5,0,0,31004,3,3,2,30,0,0,0,0,0,0,0,23,1,0
27,13,"격투사: 레벨 40","격투사 레벨 40 달성",5,0,0,31004,3,3,2,40,0,0,0,0,0,0,0,24,1,0
28,13,"격투사: 레벨 50","격투사 레벨 50 달성",5,0,0,31004,3,3,2,50,0,0,0,0,0,0,0,25,1,0
29,13,"도끼술사: 레벨 10","도끼술사 레벨 10 달성",5,0,0,31409,3,3,3,10,0,0,0,0,0,0,0,41,1,0
30,13,"도끼술사: 레벨 20","도끼술사 레벨 20 달성",5,0,0,31409,3,3,3,20,0,0,0,0,0,0,0,42,1,0
31,13,"도끼술사: 레벨 30","도끼술사 레벨 30 달성",5,0,0,31409,3,3,3,30,0,0,0,0,0,0,0,43,1,0
32,13,"도끼술사: 레벨 40","도끼술사 레벨 40 달성",5,0,0,31409,3,3,3,40,0,0,0,0,0,0,0,44,1,0
33,13,"도끼술사: 레벨 50","도끼술사 레벨 50 달성",5,0,0,31409,3,3,3,50,0,0,0,0,0,0,0,45,1,0
34,13,"창술사: 레벨 10","창술사 레벨 10 달성",5,0,0,31816,3,3,4,10,0,0,0,0,0,0,0,61,1,0
35,13,"창술사: 레벨 20","창술사 레벨 20 달성",5,0,0,31816,3,3,4,20,0,0,0,0,0,0,0,62,1,0
36,13,"창술사: 레벨 30","창술사 레벨 30 달성",5,0,0,31816,3,3,4,30,0,0,0,0,0,0,0,63,1,0
37,13,"창술사: 레벨 40","창술사 레벨 40 달성",5,0,0,31816,3,3,4,40,0,0,0,0,0,0,0,64,1,0
38,13,"창술사: 레벨 50","창술사 레벨 50 달성",5,0,0,31816,3,3,4,50,0,0,0,0,0,0,0,65,1,0
39,13,"궁술사: 레벨 10","궁술사 레벨 10 달성",5,0,0,32204,3,3,5,10,0,0,0,0,0,0,0,81,1,0
40,13,"궁술사: 레벨 20","궁술사 레벨 20 달성",5,0,0,32204,3,3,5,20,0,0,0,0,0,0,0,82,1,0
41,13,"궁술사: 레벨 30","궁술사 레벨 30 달성",5,0,0,32204,3,3,5,30,0,0,0,0,0,0,0,83,1,0
42,13,"궁술사: 레벨 40","궁술사 레벨 40 달성",5,0,0,32204,3,3,5,40,0,0,0,0,0,0,0,84,1,0
43,13,"궁술사: 레벨 50","궁술사 레벨 50 달성",5,0,0,32204,3,3,5,50,0,0,0,0,0,0,0,85,1,0
44,12,"무예에 통달한 자","검술사, 격투사, 도끼술사, 창술사, 궁술사 모두 레벨 50 달성",20,13,0,2547,1,26,7,5,0,0,0,0,0,0,0,1,1,0
45,14,"환술사: 레벨 10","환술사 레벨 10 달성",5,0,0,32611,3,3,6,10,0,0,0,0,0,0,0,1,1,0
46,14,"환술사: 레벨 20","환술사 레벨 20 달성",5,0,0,32611,3,3,6,20,0,0,0,0,0,0,0,2,1,0
47,14,"환술사: 레벨 30","환술사 레벨 30 달성",5,0,0,32611,3,3,6,30,0,0,0,0,0,0,0,3,1,0
48,14,"환술사: 레벨 40","환술사 레벨 40 달성",5,0,0,32611,3,3,6,40,0,0,0,0,0,0,0,4,1,0
49,14,"환술사: 레벨 50","환술사 레벨 50 달성",5,0,0,32611,3,3,6,50,0,0,0,0,0,0,0,5,1,0
50,14,"주술사: 레벨 10","주술사 레벨 10 달성",5,0,0,32806,3,3,7,10,0,0,0,0,0,0,0,21,1,0
51,14,"주술사: 레벨 20","주술사 레벨 20 달성",5,0,0,32806,3,3,7,20,0,0,0,0,0,0,0,22,1,0
52,14,"주술사: 레벨 30","주술사 레벨 30 달성",5,0,0,32806,3,3,7,30,0,0,0,0,0,0,0,23,1,0
53,14,"주술사: 레벨 40","주술사 레벨 40 달성",5,0,0,32806,3,3,7,40,0,0,0,0,0,0,0,24,1,0
54,14,"주술사: 레벨 50","주술사 레벨 50 달성",5,0,0,32806,3,3,7,50,0,0,0,0,0,0,0,25,1,0
55,12,"마법에 통달한 자","환술사, 주술사, 비술사 모두 레벨 50 달성",20,14,0,2658,1,26,8,3,0,0,0,0,0,0,0,2,1,0
56,12,"여덟 길에 통달한 자","업적 '무예에 통달한 자'와 '마법에 통달한 자'를 모두 달성",30,0,2909,2517,4,2,44,55,0,0,0,0,0,0,0,3,1,0
57,15,"목수: 레벨 10","목수 레벨 10 달성",5,0,0,35001,3,3,8,10,0,0,0,0,0,0,0,1,1,0
58,15,"목수: 레벨 20","목수 레벨 20 달성",5,0,0,35001,3,3,8,20,0,0,0,0,0,0,0,2,1,0
59,15,"목수: 레벨 30","목수 레벨 30 달성",5,0,0,35001,3,3,8,30,0,0,0,0,0,0,0,3,1,0
60,15,"목수: 레벨 40","목수 레벨 40 달성",5,0,0,35001,3,3,8,40,0,0,0,0,0,0,0,4,1,0
61,15,"목수: 레벨 50","목수 레벨 50 달성",5,0,0,35001,3,3,8,50,0,0,0,0,0,0,0,5,1,0
62,15,"대장장이: 레벨 10","대장장이 레벨 10 달성",5,0,0,35106,3,3,9,10,0,0,0,0,0,0,0,21,1,0
63,15,"대장장이: 레벨 20","대장장이 레벨 20 달성",5,0,0,35106,3,3,9,20,0,0,0,0,0,0,0,22,1,0
64,15,"대장장이: 레벨 30","대장장이 레벨 30 달성",5,0,0,35106,3,3,9,30,0,0,0,0,0,0,0,23,1,0
65,15,"대장장이: 레벨 40","대장장이 레벨 40 달성",5,0,0,35106,3,3,9,40,0,0,0,0,0,0,0,24,1,0
66,15,"대장장이: 레벨 50","대장장이 레벨 50 달성",5,0,0,35106,3,3,9,50,0,0,0,0,0,0,0,25,1,0
67,15,"갑주제작사: 레벨 10","갑주제작사 레벨 10 달성",5,0,0,35203,3,3,10,10,0,0,0,0,0,0,0,41,1,0
68,15,"갑주제작사: 레벨 20","갑주제작사 레벨 20 달성",5,0,0,35203,3,3,10,20,0,0,0,0,0,0,0,42,1,0
69,15,"갑주제작사: 레벨 30","갑주제작사 레벨 30 달성",5,0,0,35203,3,3,10,30,0,0,0,0,0,0,0,43,1,0
70,15,"갑주제작사: 레벨 40","갑주제작사 레벨 40 달성",5,0,0,35203,3,3,10,40,0,0,0,0,0,0,0,44,1,0
71,15,"갑주제작사: 레벨 50","갑주제작사 레벨 50 달성",5,0,0,35203,3,3,10,50,0,0,0,0,0,0,0,45,1,0
72,15,"보석공예가: 레벨 10","보석공예가 레벨 10 달성",5,0,0,35301,3,3,11,10,0,0,0,0,0,0,0,61,1,0
73,15,"보석공예가: 레벨 20","보석공예가 레벨 20 달성",5,0,0,35301,3,3,11,20,0,0,0,0,0,0,0,62,1,0
74,15,"보석공예가: 레벨 30","보석공예가 레벨 30 달성",5,0,0,35301,3,3,11,30,0,0,0,0,0,0,0,63,1,0
75,15,"보석공예가: 레벨 40","보석공예가 레벨 40 달성",5,0,0,35301,3,3,11,40,0,0,0,0,0,0,0,64,1,0
76,15,"보석공예가: 레벨 50","보석공예가 레벨 50 달성",5,0,0,35301,3,3,11,50,0,0,0,0,0,0,0,65,1,0
77,15,"가죽공예가: 레벨 10","가죽공예가 레벨 10 달성",5,0,0,35404,3,3,12,10,0,0,0,0,0,0,0,81,1,0
78,15,"가죽공예가: 레벨 20","가죽공예가 레벨 20 달성",5,0,0,35404,3,3,12,20,0,0,0,0,0,0,0,82,1,0
79,15,"가죽공예가: 레벨 30","가죽공예가 레벨 30 달성",5,0,0,35404,3,3,12,30,0,0,0,0,0,0,0,83,1,0
80,15,"가죽공예가: 레벨 40","가죽공예가 레벨 40 달성",5,0,0,35404,3,3,12,40,0,0,0,0,0,0,0,84,1,0
81,15,"가죽공예가: 레벨 50","가죽공예가 레벨 50 달성",5,0,0,35404,3,3,12,50,0,0,0,0,0,0,0,85,1,0
82,15,"재봉사: 레벨 10","재봉사 레벨 10 달성",5,0,0,35501,3,3,13,10,0,0,0,0,0,0,0,101,1,0
83,15,"재봉사: 레벨 20","재봉사 레벨 20 달성",5,0,0,35501,3,3,13,20,0,0,0,0,0,0,0,102,1,0
84,15,"재봉사: 레벨 30","재봉사 레벨 30 달성",5,0,0,35501,3,3,13,30,0,0,0,0,0,0,0,103,1,0
85,15,"재봉사: 레벨 40","재봉사 레벨 40 달성",5,0,0,35501,3,3,13,40,0,0,0,0,0,0,0,104,1,0
86,15,"재봉사: 레벨 50","재봉사 레벨 50 달성",5,0,0,35501,3,3,13,50,0,0,0,0,0,0,0,105,1,0
87,15,"연금술사: 레벨 10","연금술사 레벨 10 달성",5,0,0,35604,3,3,14,10,0,0,0,0,0,0,0,121,1,0
88,15,"연금술사: 레벨 20","연금술사 레벨 20 달성",5,0,0,35604,3,3,14,20,0,0,0,0,0,0,0,122,1,0
89,15,"연금술사: 레벨 30","연금술사 레벨 30 달성",5,0,0,35604,3,3,14,30,0,0,0,0,0,0,0,123,1,0
90,15,"연금술사: 레벨 40","연금술사 레벨 40 달성",5,0,0,35604,3,3,14,40,0,0,0,0,0,0,0,124,1,0
91,15,"연금술사: 레벨 50","연금술사 레벨 50 달성",5,0,0,35604,3,3,14,50,0,0,0,0,0,0,0,125,1,0
92,15,"요리사: 레벨 10","요리사 레벨 10 달성",5,0,0,35704,3,3,15,10,0,0,0,0,0,0,0,141,1,0
93,15,"요리사: 레벨 20","요리사 레벨 20 달성",5,0,0,35704,3,3,15,20,0,0,0,0,0,0,0,142,1,0
94,15,"요리사: 레벨 30","요리사 레벨 30 달성",5,0,0,35704,3,3,15,30,0,0,0,0,0,0,0,143,1,0
95,15,"요리사: 레벨 40","요리사 레벨 40 달성",5,0,0,35704,3,3,15,40,0,0,0,0,0,0,0,144,1,0
96,15,"요리사: 레벨 50","요리사 레벨 50 달성",5,0,0,35704,3,3,15,50,0,0,0,0,0,0,0,145,1,0
97,12,"장인의 길","목수, 대장장이, 갑주제작사, 보석공예가, 가죽공예가, 재봉사, 연금술사, 요리사 모두 레벨 50 달성",20,15,0,1558,1,26,9,8,0,0,0,0,0,0,0,21,1,0
98,16,"광부: 레벨 10","광부 레벨 10 달성",5,0,0,38003,3,3,16,10,0,0,0,0,0,0,0,1,1,0
99,16,"광부: 레벨 20","광부 레벨 20 달성",5,0,0,38003,3,3,16,20,0,0,0,0,0,0,0,2,1,0
100,16,"광부: 레벨 30","광부 레벨 30 달성",5,0,0,38003,3,3,16,30,0,0,0,0,0,0,0,3,1,0
101,16,"광부: 레벨 40","광부 레벨 40 달성",5,0,0,38003,3,3,16,40,0,0,0,0,0,0,0,4,1,0
102,16,"광부: 레벨 50","광부 레벨 50 달성",5,0,0,38003,3,3,16,50,0,0,0,0,0,0,0,5,1,0
103,16,"원예가: 레벨 10","원예가 레벨 10 달성",5,0,0,38103,3,3,17,10,0,0,0,0,0,0,0,21,1,0
104,16,"원예가: 레벨 20","원예가 레벨 20 달성",5,0,0,38103,3,3,17,20,0,0,0,0,0,0,0,22,1,0
105,16,"원예가: 레벨 30","원예가 레벨 30 달성",5,0,0,38103,3,3,17,30,0,0,0,0,0,0,0,23,1,0
106,16,"원예가: 레벨 40","원예가 레벨 40 달성",5,0,0,38103,3,3,17,40,0,0,0,0,0,0,0,24,1,0
107,16,"원예가: 레벨 50","원예가 레벨 50 달성",5,0,0,38103,3,3,17,50,0,0,0,0,0,0,0,25,1,0
108,16,"어부: 레벨 10","어부 레벨 10 달성",5,0,0,38203,3,3,18,10,0,0,0,0,0,0,0,41,1,0
109,16,"어부: 레벨 20","어부 레벨 20 달성",5,0,0,38203,3,3,18,20,0,0,0,0,0,0,0,42,1,0
110,16,"어부: 레벨 30","어부 레벨 30 달성",5,0,0,38203,3,3,18,30,0,0,0,0,0,0,0,43,1,0
111,16,"어부: 레벨 40","어부 레벨 40 달성",5,0,0,38203,3,3,18,40,0,0,0,0,0,0,0,44,1,0
112,16,"어부: 레벨 50","어부 레벨 50 달성",5,0,0,38203,3,3,18,50,0,0,0,0,0,0,0,45,1,0
113,12,"자연의 혜택","광부, 원예가, 어부 모두 레벨 50 달성",20,16,0,1981,1,26,10,3,0,0,0,0,0,0,0,22,1,0
114,20,"피와 땀의 대가: 1단계","의뢰 보수로 총 100길 획득",5,0,0,25919,3,1,13,100,0,0,0,0,0,0,0,0,1,0
115,20,"피와 땀의 대가: 2단계","의뢰 보수로 총 1,000길 획득",5,0,0,25919,3,1,13,1000,0,0,0,0,0,0,0,0,1,0
116,20,"피와 땀의 대가: 3단계","의뢰 보수로 총 10,000길 획득",5,0,0,25919,3,1,13,10000,0,0,0,0,0,0,0,0,1,0
117,20,"피와 땀의 대가: 4단계","의뢰 보수로 총 100,000길 획득",5,0,0,25919,3,1,13,100000,0,0,0,0,0,0,0,0,1,0
118,20,"피와 땀의 대가: 5단계","의뢰 보수로 총 1,000,000길 획득",5,0,0,25919,3,1,13,1000000,0,0,0,0,0,0,0,0,1,0
119,20,"상업의 신 날달의 총애","의뢰 보수로 총 10,000,000길 획득",10,11,0,463,3,1,13,10000000,0,0,0,0,0,0,0,0,1,0
120,55,"티끌 모아 태산: 1단계","적을 처치하여 총 1,000길 획득",5,0,0,26001,0,1,12,1000,0,0,0,0,0,0,0,0,1,0
121,55,"티끌 모아 태산: 2단계","적을 처치하여 총 10,000길 획득",5,0,0,26001,0,1,12,10000,0,0,0,0,0,0,0,0,1,0
122,55,"티끌 모아 태산: 3단계","적을 처치하여 총 100,000길 획득",5,0,0,26001,0,1,12,100000,0,0,0,0,0,0,0,0,1,0
123,55,"티끌 모아 태산: 4단계","적을 처치하여 총 1,000,000길 획득",5,0,0,26001,0,1,12,1000000,0,0,0,0,0,0,0,0,1,0
124,55,"티끌 모아 태산: 5단계","적을 처치하여 총 10,000,000길 획득",5,0,0,26001,0,1,12,10000000,0,0,0,0,0,0,0,0,1,0
125,55,"뼛속까지 싸움꾼","적을 처치하여 총 100,000,000길 획득",10,12,0,613,0,1,12,100000000,0,0,0,0,0,0,0,0,1,0
126,19,"고결한 신전기사","신전기사 사슬머리쓰개, 신전기사 고리갑옷, 신전기사 쇠구두, 신전기사 허리갑옷을 모두 입수
※ 장비를 모두 착용한 상태로 그리다니아 구시가지에 있는 '조나서스'에게 말을 걸어야 합니다.",5,0,0,40039,4,1,232,0,0,0,0,0,0,0,0,1,1,0
127,19,"용맹한 해적","해적 삼각모자, 해적 셔츠, 해적 장화, 해적 장식띠를 모두 입수
※ 장비를 모두 착용한 상태로 그리다니아 구시가에 있는 '조나서스'에게 말을 걸어야 합니다.",5,0,0,40599,4,1,233,0,0,0,0,0,0,0,0,2,1,0
128,19,"경쾌한 어릿광대","어릿광대 모자, 어릿광대 누비옷, 어릿광대 쫄바지, 어릿광대 허리띠를 모두 입수
※ 장비를 모두 착용한 상태로 그리다니아 구시가에 있는 '조나서스'에게 말을 걸어야 합니다.",5,0,0,40575,4,1,234,0,0,0,0,0,0,0,0,3,1,0
129,62,"고대의 무기: 커르타나와 신성한 방패","퀘스트 '되살아나는 고대의 무기'를 완료하고 커르타나와 신성한 방패 입수",10,2,0,30446,4,6,66656,0,0,0,0,0,0,0,0,1,1,0
130,62,"고대의 무기: 스파이라이","퀘스트 '되살아나는 고대의 무기'를 완료하고 스파이라이 입수",10,3,0,31034,4,6,66657,0,0,0,0,0,0,0,0,2,1,0
131,62,"고대의 무기: 브라부라","퀘스트 '되살아나는 고대의 무기'를 완료하고 브라부라 입수",10,4,0,31440,4,6,66655,0,0,0,0,0,0,0,0,3,1,0
132,62,"고대의 무기: 게 볼그","퀘스트 '되살아나는 고대의 무기'를 완료하고 게 볼그 입수",10,5,0,31842,4,6,66658,0,0,0,0,0,0,0,0,4,1,0
133,62,"고대의 무기: 아르테미스의 활","퀘스트 '되살아나는 고대의 무기'를 완료하고 아르테미스의 활 입수",10,6,0,32238,4,6,66661,0,0,0,0,0,0,0,0,5,1,0
134,62,"고대의 무기: 타이러스","퀘스트 '되살아나는 고대의 무기'를 완료하고 타이러스 입수",10,7,0,32626,4,6,66660,0,0,0,0,0,0,0,0,7,1,0
135,62,"고대의 무기: 은하수 지팡이","퀘스트 '되살아나는 고대의 무기'를 완료하고 은하수 지팡이 입수",10,8,0,33012,4,6,66659,0,0,0,0,0,0,0,0,8,1,0
136,62,"되살아난 고대의 무기","퀘스트 '되살아나는 고대의 무기'를 완료하고 커르타나, 신성한 방패, 스파이라이, 브라부라, 게 볼그, 아르테미스의 활, 타이러스, 은하수 지팡이, 위유베르, 자나디서 입수",30,1,0,2502,4,2,129,130,131,132,133,134,135,597,598,31,1,0
137,24,"숙련된 목수: 입문","목수로 제작법 레벨 1~10의 아이템 50회 제작",5,0,0,35001,3,1,23,50,0,0,0,0,0,0,0,1,1,0
138,24,"숙련된 목수: 견습","목수로 제작법 레벨 11~20의 아이템 300회 제작",5,0,0,35001,3,1,24,300,0,0,0,0,0,0,0,2,1,0
139,24,"숙련된 목수: 도제","목수로 제작법 레벨 21~30의 아이템 750회 제작",5,0,0,35001,3,1,25,750,0,0,0,0,0,0,0,3,1,0
140,24,"숙련된 목수: 하급","목수로 제작법 레벨 31~40의 아이템 1,500회 제작",5,0,0,35001,3,1,26,1500,0,0,0,0,0,0,0,4,1,0
141,24,"숙련된 목수: 상급","목수로 제작법 레벨 41~50의 아이템 3,000회 제작",10,17,0,35001,3,1,27,3000,0,0,0,0,0,0,0,5,1,0
142,24,"명인 목수","업적 '숙련된 목수: 입문', '숙련된 목수: 견습', '숙련된 목수: 도제', '숙련된 목수: 하급', '숙련된 목수: 상급'을 모두 달성",30,0,2326,35010,4,2,137,138,139,140,141,0,0,0,0,6,1,0
143,25,"숙련된 대장장이: 입문","대장장이로 제작법 레벨 1~10의 아이템 50회 제작",5,0,0,35106,3,1,28,50,0,0,0,0,0,0,0,1,1,0
144,25,"숙련된 대장장이: 견습","대장장이로 제작법 레벨 11~20의 아이템 300회 제작",5,0,0,35106,3,1,29,300,0,0,0,0,0,0,0,2,1,0
145,25,"숙련된 대장장이: 도제","대장장이로 제작법 레벨 21~30의 아이템 750회 제작",5,0,0,35106,3,1,30,750,0,0,0,0,0,0,0,3,1,0
146,25,"숙련된 대장장이: 하급","대장장이로 제작법 레벨 31~40의 아이템 1,500회 제작",5,0,0,35106,3,1,31,1500,0,0,0,0,0,0,0,4,1,0
147,25,"숙련된 대장장이: 상급","대장장이로 제작법 레벨 41~50의 아이템 3,000회 제작",10,18,0,35106,3,1,32,3000,0,0,0,0,0,0,0,5,1,0
148,25,"명인 대장장이","업적 '숙련된 대장장이: 입문', '숙련된 대장장이: 견습', '숙련된 대장장이: 도제', '숙련된 대장장이: 하급', '숙련된 대장장이: 상급'을 모두 달성",30,0,2353,35110,4,2,143,144,145,146,147,0,0,0,0,6,1,0
149,26,"숙련된 갑주제작사: 입문","갑주제작사로 제작법 레벨 1~10의 아이템 50회 제작",5,0,0,35203,3,1,33,50,0,0,0,0,0,0,0,1,1,0
150,26,"숙련된 갑주제작사: 견습","갑주제작사로 제작법 레벨 11~20의 아이템 300회 제작",5,0,0,35203,3,1,34,300,0,0,0,0,0,0,0,2,1,0
151,26,"숙련된 갑주제작사: 도제","갑주제작사로 제작법 레벨 21~30의 아이템 750회 제작",5,0,0,35203,3,1,35,750,0,0,0,0,0,0,0,3,1,0
152,26,"숙련된 갑주제작사: 하급","갑주제작사로 제작법 레벨 31~40의 아이템 1,500회 제작",5,0,0,35203,3,1,36,1500,0,0,0,0,0,0,0,4,1,0
153,26,"숙련된 갑주제작사: 상급","갑주제작사로 제작법 레벨 41~50의 아이템 3,000회 제작",10,19,0,35203,3,1,37,3000,0,0,0,0,0,0,0,5,1,0
154,26,"명인 갑주제작사","업적 '숙련된 갑주제작사: 입문', '숙련된 갑주제작사: 견습', '숙련된 갑주제작사: 도제', '숙련된 갑주제작사: 하급', '숙련된 갑주제작사: 상급'을 모두 달성",30,0,2378,35209,4,2,149,150,151,152,153,0,0,0,0,6,1,0
155,27,"숙련된 보석공예가: 입문","보석공예가로 제작법 레벨 1~10의 아이템 50회 제작",5,0,0,35301,3,1,38,50,0,0,0,0,0,0,0,1,1,0
156,27,"숙련된 보석공예가: 견습","보석공예가로 제작법 레벨 11~20의 아이템 300회 제작",5,0,0,35301,3,1,39,300,0,0,0,0,0,0,0,2,1,0
157,27,"숙련된 보석공예가: 도제","보석공예가로 제작법 레벨 21~30의 아이템 750회 제작",5,0,0,35301,3,1,40,750,0,0,0,0,0,0,0,3,1,0
158,27,"숙련된 보석공예가: 하급","보석공예가로 제작법 레벨 31~40의 아이템 1,500회 제작",5,0,0,35301,3,1,41,1500,0,0,0,0,0,0,0,4,1,0
159,27,"숙련된 보석공예가: 상급","보석공예가로 제작법 레벨 41~50의 아이템 3,000회 제작",10,20,0,35301,3,1,42,3000,0,0,0,0,0,0,0,5,1,0
160,27,"명인 보석공예가","업적 '숙련된 보석공예가: 입문', '숙련된 보석공예가: 견습', '숙련된 보석공예가: 도제', '숙련된 보석공예가: 하급', '숙련된 보석공예가: 상급'을 모두 달성",30,0,2403,35309,4,2,155,156,157,158,159,0,0,0,0,6,1,0
161,28,"숙련된 가죽공예가: 입문","가죽공예가로 제작법 레벨 1~10의 아이템 50회 제작",5,0,0,35404,3,1,43,50,0,0,0,0,0,0,0,1,1,0
162,28,"숙련된 가죽공예가: 견습","가죽공예가로 제작법 레벨 11~20의 아이템 300회 제작",5,0,0,35404,3,1,44,300,0,0,0,0,0,0,0,2,1,0
163,28,"숙련된 가죽공예가: 도제","가죽공예가로 제작법 레벨 21~30의 아이템 750회 제작",5,0,0,35404,3,1,45,750,0,0,0,0,0,0,0,3,1,0
164,28,"숙련된 가죽공예가: 하급","가죽공예가로 제작법 레벨 31~40의 아이템 1,500회 제작",5,0,0,35404,3,1,46,1500,0,0,0,0,0,0,0,4,1,0
165,28,"숙련된 가죽공예가: 상급","가죽공예가로 제작법 레벨 41~50의 아이템 3,000회 제작",10,21,0,35404,3,1,47,3000,0,0,0,0,0,0,0,5,1,0
166,28,"명인 가죽공예가","업적 '숙련된 가죽공예가: 입문', '숙련된 가죽공예가: 견습', '숙련된 가죽공예가: 도제', '숙련된 가죽공예가: 하급', '숙련된 가죽공예가: 상급'을 모두 달성",30,0,2428,35409,4,2,161,162,163,164,165,0,0,0,0,6,1,0
167,29,"숙련된 재봉사: 입문","재봉사로 제작법 레벨 1~10의 아이템 50회 제작",5,0,0,35501,3,1,48,50,0,0,0,0,0,0,0,1,1,0
168,29,"숙련된 재봉사: 견습","재봉사로 제작법 레벨 11~20의 아이템 300회 제작",5,0,0,35501,3,1,49,300,0,0,0,0,0,0,0,2,1,0
169,29,"숙련된 재봉사: 도제","재봉사로 제작법 레벨 21~30의 아이템 750회 제작",5,0,0,35501,3,1,50,750,0,0,0,0,0,0,0,3,1,0
170,29,"숙련된 재봉사: 하급","재봉사로 제작법 레벨 31~40의 아이템 1,500회 제작",5,0,0,35501,3,1,51,1500,0,0,0,0,0,0,0,4,1,0
171,29,"숙련된 재봉사: 상급","재봉사로 제작법 레벨 41~50의 아이템 3,000회 제작",10,22,0,35501,3,1,52,3000,0,0,0,0,0,0,0,5,1,0
