key,0,1,2,3,4,5
#,,Item,Location[0],Location[1],Location[2],Location[3]
int32,uint16,Item,TerritoryType,TerritoryType,TerritoryType,TerritoryType
0,0,0,0,0,0,""
1,200,15168,148,135,141,"<Indent/><Indent/>냥!<Indent/><Indent/>"
2,201,15169,152,138,145,"워매~"
3,202,15170,153,139,146,"위스!"
4,203,15171,154,180,134,"더운 건 싫어……."
5,204,15172,140,148,135,"어리석군……."
6,205,15173,141,152,138,"기여?"
7,206,15174,145,153,139,"제길!"
8,207,15175,146,154,180,"럭키!"
9,208,15176,134,140,148,"훗……!"
10,209,15177,135,141,152,"무사의 긍지로……."
11,210,15178,138,145,153,"각오해라!"
12,211,15179,139,146,154,"절전 모드……."
13,212,15180,180,134,140,"<Indent/><Indent/>뿅!<Indent/><Indent/>"
