key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
#,EventType,EnemyType,,,LGBEventObject,LGBMapRange,Quest,,SingleBattle,Announce,Name,Description,,,
int32,DynamicEventType,DynamicEventEnemyType,byte,byte,uint32,uint32,Quest,byte,DynamicEventSingleBattle,LogMessage,str,str,int16,int16,int16
0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0
1,1,4,48,20,8373717,8511877,69477,0,0,0,"썩은 야채 '피어리풀'","마수대대 백인대장 클라리시가
썩어가는 초목강 마물을 버렸다
썩은 야채, 피어리풀을 쓰러뜨려라",0,0,0
2,1,2,48,20,8374110,8511881,69477,0,0,0,"전쟁 요마견 '카니스 디루스'","술사대대가 전열을 혼란시키기 위해
머리 셋 달린 요마견을 소환했다
전쟁 요마견, 카니스 디루스를 쓰러뜨려라",0,0,0
3,1,1,48,20,8367113,8511882,69477,0,0,0,"고화력 육지전 마도 병기 '비질'","기계화 보병대대의 강화병 다보그가 조종하는
개조된 경비 전갈이 나타났다
고화력 육지전 마도 병기, 비질을 쓰러뜨려라",0,0,0
4,2,3,1,20,8367033,8511886,69477,0,1,0,"신형 비행 마도 아머 '가브리엘'","기계화 보병대대의 강화병 다보그가 조종하는
신형 비행형 마도 아머가 날아왔다
결투에 응하여 가브리엘을 쓰러뜨려라",0,0,0
5,1,4,48,20,8342248,8511887,69477,0,0,0,"죽음의 검은 새 '아크바바'","마수대대의 새조련사들이
보즈야 저항군에게 피해를 주고 있다
죽음의 새 아크바바와 새조련사를 쓰러뜨려라",0,0,0
6,1,5,48,20,8367316,8511891,69481,0,0,0,"원념의 사령 '스파르토이'","술사대대의 선발병 로피가
실험 동물 모노케로스를 데리고 탈주를 시도했다
모노케로스와 함께 사령 스파르토이를 쓰러뜨려라",0,0,0
7,1,4,48,20,8374867,8511892,69481,0,0,0,"우두머리 초코보 '붉은 혜성'","어디서 왔는지 남부 보즈야 전선에
붉은 초코보 무리가 나타났다
우두머리인 붉은 혜성을 쓰러뜨려라",0,0,0
8,2,3,1,20,8374963,8511893,69481,0,2,0,"백수의 왕 '마수왕 라이언'","마수대대를 이끄는 역전의 천인대장
라이언에게 도전을 받았다
결투에 응하여 마수왕 라이언을 쓰러뜨려라",0,0,0
9,3,2,24,20,8375462,8511895,69481,0,0,0,"화염마수 조련사 '화염백인대'","화염마수 퓌로볼루스를 사역하는
술사대대 화염백인대가 진격해왔다
적 부대를 섬멸하고 진군을 저지하라",0,0,0
10,1,1,48,20,8374781,8511898,69481,0,0,0,"거점 방위 병기 '패트리어트'","기계화 보병대대가 
거점을 견고히 방어하고자 신병기를 배치했다
거점 방위 마도 병기, 패트리어트를 쓰러뜨려라",0,0,0
11,1,2,24,20,8377121,8511901,69484,0,0,0,"마안의 요수 '에알레'","술사대대의 요술사가
꺼림칙한 요수를 전장에 풀어놓았다
마안의 요수, 에알레를 쓰러뜨려라",0,0,0
12,2,3,1,20,8374538,8511905,69484,0,3,0,"노련한 마도사 '쇳불의 사르토부아르'","강적을 찾는 불꽃술사가 나타났다
제IV군단 술사대대의 상급 백인대장
쇳불의 사르토부아르를 결투로 쓰러뜨려라",0,0,0
13,1,1,48,20,8367337,8511910,69484,0,0,0,"강철 마수 '다인슬라이프'","기계화 보병대대의 마도기사장 시시니우스가
신형 마도 병기를 전장에 내보냈다
강철 마수, 다인슬라이프를 쓰러뜨려라",0,0,0
14,1,1,48,20,8377886,8511912,69484,0,0,0,"새로운 철거인 '마도 노동자 X형'","기계화 보병대대의 마도기사장 시시니우스가
고대 병기를 개량하여 실전에 투입했다
새로운 철거인, 마도 노동자 X형을 쓰러뜨려라",0,0,0
15,1,5,48,20,8367328,8511913,69484,0,0,0,"전율의 뿔 '칠레브니크'","마수대대가 비약으로 마수의 사체를 되살려
전력으로 이용하려 한다
되살아난 전율의 뿔, 칠레브니크를 쓰러뜨려라",0,0,0
16,4,6,48,20,0,0,69487,1,0,9626,"카스트룸 라쿠스리토레 공성전","제IV군단의 보즈야 거점인
카스트룸 라쿠스리토레를 공격한다
장해를 돌파하고 요새를 제압하라",0,0,0
17,0,0,0,0,0,0,0,0,0,0,"","",0,0,0
18,0,0,0,0,0,0,0,0,0,0,"","",0,0,0
19,0,0,0,0,0,0,0,0,0,0,"","",0,0,0
20,0,0,0,0,0,0,0,0,0,0,"","",0,0,0
21,0,0,0,0,0,0,0,0,0,0,"","",0,0,0
22,0,0,0,0,0,0,0,0,0,0,"","",0,0,0
23,0,0,0,0,0,0,0,0,0,0,"","",0,0,0
24,0,0,0,0,0,0,0,0,0,0,"","",0,0,0
25,0,0,0,0,0,0,0,0,0,0,"","",0,0,0
26,0,0,0,0,0,0,0,0,0,0,"","",0,0,0
27,0,0,0,0,0,0,0,0,0,0,"","",0,0,0
28,0,0,0,0,0,0,0,0,0,0,"","",0,0,0
29,0,0,0,0,0,0,0,0,0,0,"","",0,0,0
30,0,0,0,0,0,0,0,0,0,0,"","",0,0,0
31,0,0,0,0,0,0,0,0,0,0,"","",0,0,0
32,0,0,0,0,0,0,0,0,0,0,"","",0,0,0
