key,0,1,2,3
#,Icon,Image,Name,Description
int32,Image,Image,str,str
0,0,0,"",""
1,70501,70401,"사역마의 주인"," 예전에 왕궁 청소를 맡았던 '실키'가 어머님의 사역마였을 줄이야. 생전의 어머님을 잘 아는 파파샨이라면 어떻게 된 일인지 알 수도 있으니, 그 이야기를 좀 물어보기로 했다. 물론 탐색에 대해선 알아채지 못하도록 은근슬쩍 말이다.
 파파샨이 말하기를, 어머님은 워낙에 깔끔한 분이셔서 입궁하신 후에도 몸소 청소를 하셨다고 한다. 이를 본 시녀들은 적잖이 당황했고, 왕비의 손을 더럽힐 수는 없다며 청소 도구를 숨기기까지 했다지. 당신 손으로 청소를 할 수 없게 된 어머님은 지식의 도시에서 온 마도사를 초빙해 술법을 배웠고, 거대한 청소 사역마를 함께 만들어 냈다는구나. 더러운 곳을 발견하면 은갑옷단의 근위기사들마저 쫓아내고 청소를 시작하는 모습이 제법 볼만했지만, 어느새 왕궁에서 보이지 않게 되었다고 한다.
 아마도 공화파와 심각하게 대립하던 무렵, 추억의 장소를 찾아갈 시간이 좀체 나지 않아 관리를 맡기신 게 아닐까. 하여튼, 어머님도 참 대담하시지. 청소용 사역마를 만드신 것도 그렇고, 강력한 힘을 주시기까지…… 정말 분방하시기 이를 데 없구나!"
2,70502,70402,"긍지 높은 전사의 법칙"," 향후 탐색에 도움이 될까 싶어, 짐은 왕궁 서고에서 실디하에 관련된 기록을 훑어보기로 했다. 그러나 왕궁에 보관된 기록이기에, 이미 알고 있는 정보만 나올 뿐이었다. 그나마 눈에 띈 것이라면, 좀비 소탕 때 아말쟈족과 함께 싸운 울다하 병사가 기록한 보고서 정도일까. 거기에는 아말쟈 용사와 울다하 병사는 전투 방식이 달라 연계에 난항을 겪고 있다는 내용이 기록되어 있었다.
 당시, 실디하 지하수도에 득시글대던 수많은 좀비들은, 강한 정도가 들쭉날쭉했다고 한다. 보고서를 작성한 병사는 쉬운 개체부터 상대하여 먼저 전체 숫자를 줄이는 데에 집중해야 한다고 생각했으나, 아말쟈족은 딱 보기에 강해 보이는 개체에게 도전했다는구나. 그래서 왜 그렇게 싸우는지 물었더니 아말쟈족이 말하길, 강한 적부터 상대하는 것이 자신의 힘을 보이는 가장 좋은 전법이며, 약한 적부터 쓰러뜨리는 것은 자신감 부족이 드러난 것으로 간주한다고.
 결국 그들은 서로의 사상을 존중하며, 각자 선호하는 전법을 채용했다고 한다. 즉, 울다하 병사는 약한 개체부터 노렸다는 말이다. 과연 이 정보가 쓰일 곳이 있을지는 모르겠지만, 일단 기억해 두기로 하자."
3,70503,70403,"햇볕 속에서"," 왕족인 아버님과 소상인 집안에서 태어난 어머님이 처음 만난 곳은, 상인들과의 교류를 목적으로 왕궁에서 주최한 만찬회였다고 한다. 보자마자 사랑에 빠지셨다고 하니, 이 얼마나 낭만적인 이야기인가. 두 분은 결혼 전에 남의 이목을 신경 쓰지 않아도 되는 '비밀의 화원'에서 여러 번 밀회를 가지셨다고 들은 적이 있다. 그곳은 지하 깊숙한 곳에 묻혀 있는데도 햇살이 비치는 화원이었다고 했지……. 그래, 필시 이번 탐색에서 찾아낸 그곳일 것이다.
 두 분의 혼약이 발표되었을 때, 아버님이 어머님께 청혼한 장소가 어딘지에 관해 이런저런 소문이 퍼졌다고 한다. 그 소문을 장사에 이용하는 불경한 자들도 끊이지 않았다고 전해지는데, 울다하 상인들의 지독한 상인 정신은 지금이나 옛날이나 별반 다르지 않았다는 게지. 진상은 끝내 밝혀지지 않았지만, 이번에 그곳을 방문해 보니 찾아내지 못하는 게 당연하다 싶었다.
 다날란의 메마른 모래 아래 묻혔으면서도 햇볕을 받아 꽃들이 피어나는 곳에서, 젊은 아버님과 어머님이 오손도손 이야기를 나누는 모습. 그 모습을 떠올리니 절로 미소가 지어진다. 웃으며 두 분을 추억할 수 있게 되기까지, 꽤 오랜 시간이 걸리고 말았구나……."
4,70504,70404,"열쇠와 약속"," 은세공 열쇠는 다섯 살 생일날에 아버님과 어머님께 받은 것인데, 어디에 쓰는 물건인지는 알려주지 않으셨다. 어머님은 내가 훌륭한 숙녀로 성장하면 이 열쇠가 지키는 '추억의 장소'에 데려가 주시겠다고만 하셨지. 그리고 아버님은 '울다하의 추억' 또한 그곳에 잠들어 있다고 말씀하셨지만, 어린 나로서는 '당장에 열어볼 수 없는 선물'이기에 안달이 났을 뿐이었어. 당시에는 투정도 부렸지만 이제는 그것 또한 소중한 추억이다.
 그 후 얼마 지나지 않아, 아버님과 어머님은 달 신 곁으로 떠나셨다. 예고도 없이 부모님과 헤어져야 했던 짐은, 여러 의견이 엇갈리는 와중에 왕위를 계승하고 슬픔과 불안에 몸부림치는 나날을 보내게 되었지. 때로는 뜨겁고, 때로는 차가운 모래에 발이 빠지며 걸어가다 보니, 약속도, 열쇠도, 추억의 장소에 대해서도 새까맣게 잊고 있었구나.
 막 다섯 살이 된 미숙한 딸에게 왜 이 열쇠를 선물하신 것일까. 머지않아 찾아올 '사고'를 예감했기 때문일까, 아니면……. 이제 두 분의 의중을 알 방법은 없지만, 지금 이 손에 열쇠가 남아 있는 데에는 분명 어떤 의미가 있을 것이다."
5,70505,70405,"아버님의 염원"," 실디하 지하수도에서 좀비를 소탕하던 때, 함께 싸워준 아말쟈족은 자하라크 진영을 설치했다. 그곳이 본부라면 이번 탐색에서 발견한 거점의 옛터는 전초기지라 할 수 있겠지. 아버님과 어머님께 받은 열쇠로 감춰져 있었으니, 아버님이 남기신 일기에 나온 '아말쟈족과 함께 싸운 증거'와 무언가 관계가 있을 듯하다.
 아버님은 생전에 '수인 배척령'을 공포하는 데에 반대하셨다고 한다. 한편 수인을 배척하고 이권을 확보하려 했던 공화파는, 모래전갈회의 지원을 받아 왕의 뜻에 반하는 새로운 법을 공포하고야 말았지. 이에 아버님은 여론을 움직여 대항하려 하셨던 듯하다. 쉽게 날조할 수 있는 문헌이나 기록이 아니라, 물질적인 '아말쟈와 함께 싸운 증거'를 보여줌으로써 사람들에게 화합을 호소하고자 하신 것이다. 그러나 그 계획은 아버님께서 '사고사'하시는 바람에 실현되지 못한 채 끝나고 말았다.
 그 '증거'가 무엇인지, 지금도 어딘가에 존재하는지는 짐도 모르느니라. 하지만 그 거점 옛터에 만약 단서가 있다면……. 부모님께 효도 한번 못 해봤지만, 아말쟈족과 화합하자는 분위기가 무르익은 지금, 아버님을 대신해 염원을 이룰 수 있지 않을까. 그곳에서 '증거'의 행방을 알게 되면 좋으련만."
6,70506,70406,"울다하가 짊어져야 할 죄"," 관에 들어간 아말쟈족 용사가 좀비가 되었을 줄이야. 아마도 좀비와 싸우다가 입은 부상에 육체가 좀먹힌 탓이겠지.
 인간을 사령으로 만드는 금기의 비약 '좀비 파우더'. 과거 울다하는 자국의 주술사가 만든 이 비인도적인 비약을, 실디하와의 전쟁에 이용했다. 게다가 당시 왕이었던 사사간 3세는 실디하 측이 자국민을 불사의 병사로 만들기 위해 개발한 것이라는 헛소문을 퍼뜨리기까지 했지. 사사간 3세는 후에 그 죄 때문에 손씨 가문에 고발당했고, 제1기 울씨 왕조는 종언을 맞이하였으나…… 그 헛소문은 지금까지도 통설로 여겨진다.
 울씨 왕조의 권위를 유지하고 싶었던 왕족의 계략, 주술사와 유착한 날달 교단의 음모, 여러 야심들이 거짓 역사를 굳히고 말았다. 자기가 사는 나라가, 비인도적 행위로 인해 파괴된 나라 위에 세워졌다는 사실을, 대다수의 울다하 백성들은 인정하기 어렵겠지. 하지만 과거를 돌아보지 않으면 올바른 미래로 나아갈 수 없다. 그 아말쟈족의 모습을 떠올리니 '울'이라는 이름을 이어받은 여왕으로서 책임을 느끼지 않을 수 없구나. 이슈가르드처럼, 설령 괴로움을 겪게 되더라도, 역사를 다시 써야 할 때가 온 것이 아닐까."
7,70507,70407,"기도와 몰약"," 실디하 지하수도에서 있었던 일로 아말쟈족에게 묻고 싶은 게 있었다만, 그들과 여는 정기 회의 의제로 올릴 수는 없었다. 짐이 몰래 왕궁을 빠져나가 조사했다는 사실이 알려지면, 도와준 자들도 곤란해질 터이니.
 그래서 회의가 끝난 후 잠시 동안, 회의에 참석한 추장과 사소한 '잡담'을 나누기로 했다. 울다하 영내에서 발견된 관에서 좀비가 된 아말쟈 용사가 나타났다고 설명하고, 그 자의 장례를 어떻게 치러야 하는지 아말쟈족의 예법에 대해 알고 싶다고 가르침을 구했다. 그랬더니 추장은 그 무엇보다 용사의 잠을 방해하지 않는 것이 중요하다고 말해주었다. 뚜껑을 열어 안을 확인하지 말고, 우선 관을 향해 기도를 올리는 것이 핵심이라면서. '용맹한 영혼에게 공손하게 인사하고, 묵념을 올린 다음, 그의 무훈이 가져다 준 승리를 기뻐하며, 경의를 담아 무릎을 꿇는다'…… 이것이 전장에서 스러진 동포를 기리는 장례 순서라고 한다. 그리고 마지막에 몰약 향을 피우면 영혼이 정화된다는 듯하다.
 이렇게 이야기를 나눌 때마다, 아말쟈족에 대해 알아야 할 점이 아직도 많다는 것을 통감하게 된다. 그들의 문화와 관습을 접하고, 더 깊게 이해해 나가야겠지."
