#,Description,Unknown1,Unknown2,PreviewIcon,Transformation,Unknown5,Expansion
0,,0,0,0,0,0,0
1,차분하지만 굳은 심지를 갖고 있는 뿔의 아이 여성,0,0,73801,219,76,0
2,흔들림 없는 신념과 자신감이 가득한 루가딘 여성,1,0,73802,220,76,0
3,용맹하고 투지 넘치는 휴런 남성,2,0,73803,221,76,0
4,복숭아빛 머리칼이 사랑스러운 고귀한 라라펠 여성,3,0,73804,222,76,0
5,마도 기술에 정통하여 부하에게 존경받는 갈레안 남성,10,66054,73805,355,91,0
6,야심이 강하며 종잡을 수 없는 갈레안 남성,13,66737,73806,354,91,0
7,새벽의 금고지기를 연모하는 라라펠 남성 기술자,11,66737,73807,532,152,0
8,파트너와 함께 제국에서 도망친 루가딘 남성 기술자,12,66737,73808,533,152,0
9,붉은 머리와 붉은 눈동자를 가진 미코테 남성,14,66737,73809,356,91,0
10,맹주로서 비밀결사를 이끄는 휴런 여성,4,66046,73810,395,105,0
11,식민지인이면서 진영대장을 역임한 루가딘 남성,15,70058,73811,392,105,0
12,가희로 명성을 떨친 매력적인 미코테 여성,9,66729,73812,391,105,0
13,대담무쌍하고 멋진 휴런 신사,16,66740,73813,393,105,0
14,사건해결사 신사의 조수로 일하는 미코테 여성,17,66740,73814,394,105,0
15,에오르제아 최강의 보석공예가라 불리는 휴런 남성,18,66740,73815,508,142,0
16,비밀결사의 금고지기인 라라펠 여성,5,66045,73816,507,142,0
17,신생을 겪은 휴런 남성,99,70058,73817,484,132,0
18,검은 머리칼과 푸른 눈동자에 강한 의지가 감도는 엘레젠 남성,0,67205,73818,217,76,1
19,정의감이 강하며 늠름한 엘레젠 혼혈 여성,1,67205,73819,357,91,1
20,노란색 귀가 달린 후드 로브를 입은 라라펠 여성,4,67699,73820,218,76,1
21,보기 드문 창 솜씨를 자랑하는 고고한 엘레젠 남성,2,68089,73821,358,91,1
22,하늘도적을 이끌며 자유를 사랑하는 휴런 남성,5,67740,73822,359,91,1
23,자유로운 파트너의 뒷수습 역할을 맡은 하늘도적 휴런 여성,6,67740,73823,534,152,1
24,하늘도적에서 기술을 담당하는 라라펠 여성,7,67740,73824,535,152,1
25,소문을 좋아하는 고귀한 신분의 엘레젠 남성,3,67205,73825,482,132,1
26,창천이 어울리는 휴런 남성,99,67205,73826,483,132,1
27,성품이 좋고 대범한 동방의 휴런 남성,0,68089,73827,214,76,2
28,닌자 기술에 능하며 충성심 높은 아우라 여성,1,68089,73828,215,76,2
29,"싸움 실력이 뛰어난, 거만하고 고독한 아우라 남성",2,68089,73829,213,76,2
30,지기 싫어하고 호쾌하며 자긍심 높은 아우라 여성,3,68089,73830,212,76,2
31,"신탁에 순종하며 살고 있는, 가녀리고 연약한 아우라 여성",4,68089,73831,211,76,2
32,체술에 능하며 진홍빛 의상을 입고 있는 휴런 여성,5,68089,73832,216,76,2
33,홍옥해의 해적 형제단을 이끄는 루가딘 남성,6,68089,73833,536,152,2
34,해적 형제단의 부두목으로서 우두머리를 보좌하는 휴런 남성,7,68089,73834,537,152,2
35,"성수들이 따르는, 한때 영웅이었던 휴런 남성",11,68702,73835,361,91,2
36,전권 대사를 맡은 감정적인 휴런 남성,8,68610,73836,360,91,2
37,어둠의 사도를 토벌하려 하는 갈레안 남성,9,68717,73837,478,132,2
38,"현인 지위를 가진, 상당히 박식한 아우라 여성",12,68725,73838,479,132,2
39,홍련이 어울리고 체술이 특기인 휴런 남성,98,68089,73839,480,132,2
40,홍련이 어울리고 외날검을 든 휴런 남성,99,68089,73840,481,132,2
41,자신을 마녀라 칭하는 총명한 미코테 여성,0,69190,73841,362,91,3
42,별을 읽고 운명을 개척하는 과묵한 엘레젠 남성,1,69190,73842,364,91,3
43,건블레이드를 사용하며 정의감 넘치는 휴런 남성,2,69190,73843,363,91,3
44,"지나치게 파란 눈동자를 가진, 기구한 운명을 짊어진 휴런 소녀",3,69190,73844,365,91,3
45,두령 대행으로 해적을 통솔하는 휴런 남성,5,69552,73845,473,132,3
46,마수조련사로 유명한 휴런 남성,7,69487,73846,474,132,3
47,명문 마수조련사 가문 출신이며 아집이 있는 라라펠 여성,8,69620,73847,475,132,3
