key,0,1,2,3,4,5,6,7,8,9
#,Name,Description,,Action,UnlockLink,Recast,UIPriority,Icon,,
int32,str,str,byte,Action,uint16,byte,byte,Image,bit&01,bit&02
0,"","",0,0,0,0,0,0,False,False
1,"자동 공격","일정 주기마다 자동으로 일반 공격을 가합니다.",1,0,0,0,7,101,False,False
2,"점프","위로 뛰어올라 조금 높은 곳도 넘을 수 있습니다.",1,0,0,0,11,102,False,False
3,"리미트 브레이크","리미트 게이지를 소비하여 강력한 리미트 브레이크를 발동합니다.
클래스의 역할과 리미트 단계에 따라 효과가 달라집니다.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>방어 역할<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 파티원 모두에게 받는 피해량 감소 효과를 부여합니다. (범위: 50m)
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>근거리 공격 역할<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 적 하나에게 큰 피해를 줍니다.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>원거리 공격 역할<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 전방 직선 범위 내 적에게 큰 피해를 줍니다. (범위: 30m)
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>마법 공격 역할<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 지정한 지면 위의 적에게 큰 피해를 줍니다. (범위: 8m / 10m / 15m)
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>회복 역할<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 파티원의 HP를 회복합니다. 3단계일 경우 전투불능인 파티원을 부활시킵니다.
부활 대상이 쇠약 상태가 아닐 경우 쇠약 상태를 부여하지 않으며, 부활 대상이 쇠약 상태일 경우 쇠약 지속시간이 초기화됩니다. (범위: 50m)",1,0,0,0,4,103,False,False
4,"전력 질주","자신의 이동 속도를 향상시킵니다.
전투 중에는 지속시간이 단축됩니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>지속시간<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 20초(전투 중에는 10초)
※ PvP 임무 중에는 실행할 수 없습니다.",1,3,0,56,1,104,False,False
5,"분해","아이템을 해체하여 다시 사용할 수 있는 재료를 골라냅니다.",2,0,95,0,51,120,False,True
6,"수리","장비의 내구도를 회복합니다.
수리용 촉매로 각 장비의 레벨에 맞는 암흑물질이 필요합니다.",2,0,0,0,31,106,False,True
7,"텔레포","길을 지불하고 이전에 방문한 적이 있는 에테라이트까지 순간이동합니다.",1,5,4,0,2,111,False,True
8,"데존","귀환 지점으로 설정한 장소에 순간이동합니다.",1,6,1,57,3,112,False,True
9,"탈것 무작위 호출","소유한 탈것 중 하나를 무작위로 불러냅니다.",1,0,0,0,21,118,False,False
10,"꼬마 친구 무작위 호출","소유한 꼬마 친구 중 하나를 무작위로 불러냅니다.",1,0,0,0,23,117,False,False
11,"","",0,0,0,0,0,0,False,False
12,"마테리아 장착","사념의 결정체인 마테리아를 장착하여 장비를 강화합니다.",2,0,11,0,33,107,False,True
13,"마테리아 장착 2","사념의 결정체인 마테리아를 장착하여 장비를 강화합니다.
실패할 위험성이 있지만, 장비에 파인 마테리아 홈보다 많이 장착할 수 있습니다.",2,0,12,0,34,108,False,True
14,"마테리아 정제","물질에 깃든 사념의 에테르를 추출하여 결정(마테리아)으로 만듭니다.",2,0,13,0,32,109,False,True
15,"염색","염료를 소비하여 장비의 색상을 바꿉니다.",2,0,14,0,41,110,False,True
16,"조준: 순서대로","가장 가까운 적부터 순서대로 조준합니다.",3,0,0,0,12,113,False,True
17,"조준: 역순으로","가장 가까운 적부터 역순으로 조준합니다.",3,0,0,0,13,114,False,True
18,"설치","손에 들고 있는 아이템을 그 자리에 놓습니다.",1,0,0,0,0,61112,False,False
19,"지도 해독","오래된 지도를 해독합니다.",1,1694,25,0,61,115,False,False
20,"탐색","보물 지도에 적힌 보물상자가 있는지 주위를 조사합니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>범위<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 반경 30m",1,1695,25,67,62,116,False,False
21,"정제","채집한 소장품을 정제하여 새로운 아이템을 발견합니다.",2,0,256,0,52,121,False,True
22,"장비 투영","환상의 프리즘을 소비하여 장비의 겉모습을 바꿉니다.",2,0,15,0,42,119,False,True
23,"내리기","탈것에서 내립니다.",1,0,0,0,0,61128,False,False
24,"나는 탈것 무작위 호출","소유한 나는 탈것 중 하나를 무작위로 불러냅니다.",1,0,0,0,0,122,False,False
25,"투영세트","여러 개의 장비를 한꺼번에 투영합니다.",2,0,15,0,43,125,False,True
26,"임무용 기술 1","던전이나 토벌전 등의 임무 전용 기술을 실행합니다.",1,0,0,0,1,123,True,False
27,"임무용 기술 2","던전이나 토벌전 등의 임무 전용 기술을 실행합니다.",1,0,0,0,2,124,True,False
28,"소품 넣기","패션 소품을 집어넣습니다.",1,0,0,0,0,61188,False,False
29,"보조 단축바: 기술 배열","보조 단축바에 설정된 기술 배열을 변경합니다.",1,0,0,0,0,61192,False,True
30,"보조 단축바: 기술 배열","보조 단축바에 설정된 기술 배열을 변경합니다.",1,0,0,0,0,61192,False,True
31,"","",0,0,0,0,0,0,False,False
32,"","",0,0,0,0,0,0,False,False
33,"","",0,0,0,0,0,0,False,False
34,"","",0,0,0,0,0,0,False,False
35,"","",0,0,0,0,0,0,False,False
36,"공격 표식 지정","공격1~8 표식으로 설정된 대상을 지정합니다.
지정 대상이 여러 개일 경우, 가장 작은 번호를 지정합니다.",2,0,0,0,14,133,False,True
37,"속박 표식 지정","속박1~3 표식으로 설정된 대상을 지정합니다.
지정 대상이 여러 개일 경우, 가장 작은 번호를 지정합니다.",2,0,0,0,15,134,False,True
38,"금지 표식 지정","금지1~2 표식으로 설정된 대상을 지정합니다.
지정 대상이 여러 개일 경우, 가장 작은 번호를 지정합니다.",2,0,0,0,16,135,False,True
39,"네모 표식 지정","네모 표식으로 설정된 대상을 지정합니다.",2,0,0,0,17,136,False,True
40,"동그라미 표식 지정","동그라미 표식으로 설정된 대상을 지정합니다.",2,0,0,0,18,137,False,True
41,"십자 표식 지정","십자 표식으로 설정된 대상을 지정합니다.",2,0,0,0,19,138,False,True
42,"세모 표식 지정","세모 표식으로 설정된 대상을 지정합니다.",2,0,0,0,20,139,False,True
