key,0,1,2,3,4,5,6,7,8,9,10
#,Type,,AssignmentTalk,Quest[0],Quest[1],,,,,,
int32,str,byte,GuildleveAssignmentTalk,Quest,Quest,bit&01,bit&02,bit&04,bit&08,bit&10,byte
393216,"길드 의뢰",0,1,65756,65756,False,False,False,False,False,0
393217,"길드 의뢰",1,2,65756,65756,False,False,False,False,False,0
393218,"길드 의뢰",1,3,65757,65757,False,False,False,False,False,0
393219,"길드 의뢰",1,4,65979,65979,False,False,False,False,False,0
393220,"길드 의뢰",1,5,65756,65756,False,False,False,False,False,0
393221,"길드 의뢰",1,6,66229,66229,False,False,False,False,False,0
393222,"길드 의뢰",1,7,66223,66223,False,False,False,False,False,0
393223,"길드 의뢰",1,8,66223,66223,False,False,False,False,False,0
393224,"길드 의뢰",1,9,66224,66224,False,False,False,False,False,0
393225,"길드 의뢰",1,10,66229,66229,False,False,False,False,False,0
393226,"길드 의뢰",1,11,66230,66230,False,False,False,False,False,0
393227,"길드 의뢰",1,12,65756,65536,False,False,False,False,False,0
393228,"길드 의뢰",1,13,66228,66228,False,False,False,False,False,0
393229,"길드 의뢰",1,14,65550,65550,False,False,False,False,False,0
393230,"길드 의뢰",1,15,65552,65552,False,False,False,False,False,0
393231,"길드 의뢰",1,16,65553,65553,False,False,False,False,False,0
393232,"길드 의뢰",1,17,65980,65980,False,False,False,False,False,0
393233,"길드 의뢰",1,18,65551,65551,False,False,False,False,False,0
393234,"길드 의뢰",1,19,66223,65536,False,False,False,False,False,0
393235,"길드 의뢰",1,20,66229,65536,False,False,False,False,False,0
393236,"길드 의뢰",1,21,66232,66232,False,False,False,False,False,0
393237,"길드 의뢰",1,22,66231,66231,False,False,False,False,False,0
393238,"길드 의뢰",1,23,65554,65554,False,False,False,False,False,0
393239,"총사령부 의뢰",2,24,66229,65536,True,False,False,False,False,1
393240,"총사령부 의뢰",2,25,66229,65536,True,False,False,False,False,5
393241,"총사령부 의뢰",2,26,65756,65536,False,True,False,False,False,1
393242,"총사령부 의뢰",2,27,65756,65536,False,True,False,False,False,5
393243,"총사령부 의뢰",2,28,66223,65536,False,False,True,False,False,1
393244,"총사령부 의뢰",2,29,66223,65536,False,False,True,False,False,5
393245,"총사령부 의뢰",2,30,65756,65536,True,True,True,False,False,5
393246,"총사령부 의뢰",2,31,65756,65536,True,True,True,False,False,5
393247,"총사령부 의뢰",2,32,66223,65536,True,True,True,False,False,8
393248,"신전기사단 의뢰",3,33,67642,67642,False,False,False,True,False,0
393249,"길드 의뢰",4,34,68457,68457,False,False,False,False,True,0
393250,"중용의 공예관 의뢰",5,35,69138,69138,False,False,False,False,True,0
