key,0,1,2,3,4,5,6,7,8,9
#,Number,,,Quest,Icon,Image,Rarity,NameJP,Name,Description
int32,byte,byte,byte,Quest,Image,Image,byte,str,str,str
0,0,0,0,0,0,0,0,"","",""
1,1,0,0,69478,72601,72501,1,"バイシャーエン・ウルガッシュ","바이샤엔 울가쉬","54세. 로스가르족. 구 보즈야 왕국 수도 보즈야 출신.
보즈야 저항군의 지도자.

갈레말 제국으로부터 보즈야 구역을 해방시켜, 독립 국가를 수립하려 한다.

의학을 공부하던 중 제국군에 징용되어 군의관으로서 종군했다. 공훈을 인정받아 제국 명예 시민권을 얻고 결혼 후 아이도 가졌으나, 반란을 진압하기 위해 원정에 나간 사이에 보즈야 사건이 발생하여 아내와 아이를 잃었다.
사건이 일어난 후 제국을 버리고 동료와 함께 군에서 탈주하여, 지하에서 잠복 활동을 하다가 저항군에 참가하게 되었다.

제국군 시절에는 자신의 삶이 나쁘지 않다고 생각했지만, 사건 후에 정반대로 바뀌어 지금은 제국에 대해 누구보다 강한 원망과 증오를 갖고 있다.
그러나 지성인인 바이샤엔은 그런 부정적인 감정을 가능한 한 억누르려 노력한다. 감정만을 내세우면 부정적인 상황이 끝나지 않는다는 것을 역사에서 배웠기 때문이다.

군힐드의 검(레지스탕스 웨폰)을 복각하고 여왕 친위대를 재현한 바이샤엔은, 이윽고 보즈야에서 제IV군단을 쫓아내기 위해 반격에 불을 붙였다…….
"
2,2,0,0,69478,72602,72502,1,"マルシャーク・アペッラ","마르샤크 아펠라","42세. 로스가르족. 보즈야 구역 출신.
보즈야 저항군의 일원.

바이샤엔의 오른팔로 활약하고 있다.
징용병으로서 제국군에 복무하던 중 보즈야 사건이 발생하여 부모와 형제를 모두 잃었다. 사건 후, 군을 떠나 저항군에 참가했다.
바이샤엔을 스승으로 섬기며, 저항군의 자금 및 물자 조달과 인재 육성 등의 일을 맡고 있다. 도마의 히엔이나 동부 알데나드 상회와 같은 외부 협력자의 섭외와 연락 담당으로서 특히 재능을 발휘한다. 성격이 온화하여 연락책으로서 신뢰받는 모양이다.

제국을 원망하긴 하지만, 식민지 백성으로서 태어나 자랐기 때문에 국가와 국민을 별개로 보려고 한다. 사람이 너무 좋아 탈이라고 할 수도 있으나, 그 부드러운 말씨는 남의 경계심을 늦추는 데에 도움이 되기도 한다.
전투 능력도 높이 평가되는데, 그도 그럴 것이 로스틱에게 직접 가르침을 받은 건브레이커이기 때문이다. 온후하며 듬직한 모두의 방패, 그것이 마르샤크이다."
3,3,0,0,69478,72603,72503,1,"ゼヴェン・スヴァナシュ","제벤 스바나쉬","47세. 로스가르족.
보즈야 저항군의 일원이자, '신생 군힐드의 검' 중 한 명.

출신 불명. 보즈야 사람으로 추정되나, 제벤의 과거를 아는 이는 없으며 본인도 과거에 대해 말하고 싶어하지 않는다. 아주 약간 알아낸 정보에 따르면 마술에 통달하기 위하여 각지를 방랑했다고 한다. 남으로는 사베네어, 동으로는 동쪽 나라, 북으로는 갈레말 제국 수도 갈레말드까지 가 본 모양이다.
마술에 뜻을 두게 된 계기는 에오르제아에 왔을 때 겪은 일 때문이었다. 불치병에 걸린 어머니를 구하기 위해 아버지와 둘이서 그리다니아로 떠났는데, 안타깝게도 치료법을 찾지 못하고 여행 중에 어머니가 죽고 말았다. 어머니의 병은 갈레말 제국이 보즈야를 침공한 것이 원인으로, 모친을 잃은 슬픔은 어린 마음에 제국을 향한 증오와 복수심을 싹틔우기 충분한 것이었다.
여행길에서 다양한 마술을 본 제벤은 그 지식을 보즈야에 가지고 돌아가려고 했다. 독학으로 마술을 배워 보즈야 해방에 이바지할 셈이었다.
제벤은 각지에서 배운 마술에 독자적인 체계를 세워 하나의 학문을 이루었지만, 이를 다른 사람에게 가르치려 하지 않았다. 이유인즉, 그의 마술은 파괴를 위한 마술이므로 이용자의 목적에 따라서는 그저 '재앙'이 될 수도 있기 때문이었다.
어느덧 제벤은 둘도 없는 마술사로서 병사들의 경외의 대상이 되어 군신이라고 칭송받는 존재가 되었다.
제벤은 전쟁터에서 죽는 것을 두려워하지 않았다. 오히려 죽음을 바랐다. 이는 과거 달마스카 대미궁에 갔을 때 만난 수상한 이국의 마도사가 한 예언 때문이다. 이국의 말을 알아들을 수는 없었지만, 뜻은 이해할 수 있었다. 언젠가 보즈야 해방의 봉화가 오를 때, 제벤에게 죽음이 찾아올 것이라고. 바로 이곳, 남부 보즈야 전선이 그 사지가 아닐까? 그렇다면 자신은 죽음을 두려워하지 않고 그저 한 자루의 검, 신생 군힐드의 검으로서 싸우다 죽으면 된다. 제벤은 죽음이 두렵지 않다.
그런 제벤에게 예언이 이루어지려 하고 있다…….
"
4,4,0,0,69478,72604,72504,2,"イソルデ・コヴィー","이솔데 코비","26세. 휴런족. 달마스카 구역 레아몽드 출신.
보즈야 저항군의 일원이자, '신생 군힐드의 검' 중 한 명.

어엿한 보즈야인. 양친은 달마스카로 도망친 보즈야 난민이며, 달마스카가 식민지가 된 후에 제국이 실시한 보즈야 난민 귀국 정책을 거부하고 레아몽드로 이주했다. 이솔데는 제국 식민지에서 태어나 제국식 교육을 받았지만, 그녀의 관심은 온통 보즈야의 전통 춤과 노래에 쏠려 있었다. 보즈야 음악의 큰 특징은 빠른 박자와 격렬하게 오르내리는 선율이다. 가사 또한 서민의 생활과 자연을 소재로 한 것들이며, 대부분이 연애에 대한 노래이다. 현악기와 타악기로 이루어진 연주에 맞춰 무용수가 노래를 하며 격렬한 스텝을 밟는다. 이솔데는 어린 시절부터 그런 춤꾼을 꿈꿨고, 어느새 차세대 무용수로서 기대를 한몸에 받게 되었다. 보즈야 무도의 또 다른 커다란 특징은 무기인 활을 악기로 사용하는 것이다. 활시위를 다른 활로 켜서 음색을 만들거나 손가락으로 튕겨서 타악기처럼 리듬을 연주한다. 이는 사냥을 하며 보즈야 각지를 떠돌던 선조에 대한 존경의 표시이며, 무용수는 모두 활을 쏠 줄도 안다.
보즈야로 돌아와 저항군에 참가한 이솔데는 순식간에 궁술사로서 활약하게 되었다.

그러나 그녀의 마음에는 서민의 생활과 자연에 대한 깊은 이해와 애정이 진하게 남아 있다. 그것은 보즈야인 뿐만 아니라 제국인에게도 마찬가지이다. ""하루빨리 평화로워지기를. 보즈야도 제국도."" 이것이 그녀의 말버릇이다.
"
5,5,0,0,69478,72605,72505,1,"スタニック・アルボフ","스타니크 알루보프","36세. 로스가르족. 보즈야 구역 출신.
보즈야 저항군의 일원이자, '신생 군힐드의 검' 중 한 명.

스타니크는 어렸을 때부터 '영웅'을 동경했다.
식민지 주민인 대다수의 보즈야인은 몹시 궁핍했고, 스타니크의 부모님이 경영하는 잡화점도 하루하루 식비를 버는 게 고작이었다. 학교에 다닐 돈조차 없었지만, 빈곤에 허덕이는 보즈야인에게는 흔한 일이었다. 스타니크는 푼돈이라도 벌기 위해 아이 돌보기부터 구두닦이까지 안 해본 일이 없었으나, 소매치기나 도둑질 같은 범죄에 손을 대지는 않았다. 아무리 가난하더라도 사람이 해서는 안 되는 일이 있다고 부모님이 가르쳤기 때문이다.
15세가 된 스타니크는 제국군의 징병 검사를 받고 병사가 되었다. 영웅이 되고 싶어서가 아니다. 자기 한 입 줄여서 부모님의 부담을 조금이라도 덜어주고 싶었기 때문이다.
쥐꼬리만 한 급료에서 적은 금액이나마 떼어 부모님에게 보내기도 했다. 매번 보낼 수는 없었지만, 스타니크에게는 그것이 '자기 나름의 영웅적 행위'로 느껴졌다. 부모님이 보낸 편지가 그의 유일한 안식이었고 살아 있다는 증거였다.

보즈야 사건이 일어났을 때, 스타니크는 멀리 떨어진 지역에서 임무를 수행하고 있었다. 사건이 일어난 지 5일 후에 부모님의 편지가 도착했지만, 그 편지의 날짜는 사건이 일어나기 바로 전날이었다…….
"
6,6,0,0,69478,72606,72506,3,"ブラズ・アゼティナ","블라즈 아제티나","25세. 로스가르족. 도마 출신.
보즈야 저항군의 일원이자, '신생 군힐드의 검' 중 한 명.

권술, 검술, 유술, 창술 등 온갖 무술을 가르치는 '취일문'의 직계 사무라이.
취일문에서는 지금까지 문하생이 저항군에 참가하는 것을 인정하지 않았다. 무술에 정진함은 자신의 혼을 단련하기 위함이지, 결코 싸움의 도구가 되어서는 안 된다고 가르치기 때문이다. 보즈야에서 반란이 일어났을 때도 제국에 대한 불만과 증오를 참지 못해 반란에 참가한 문하생이 있었으나, 취일문은 그런 문하생들을 파문하고 제국과 직접 부딪치는 일을 피했다.
블라즈의 아버지는 취일문 종가의 막내였으나 그 역시 금기를 깨고 반란에 참가했다. 반란은 실패로 끝났고, 보즈야를 떠나 도마로 도망친 그는 도마에서 아내를 만나 블라즈를 낳았다. 블라즈는 사무라이 검술의 명문에 제자로 들어갔고, 부친에게 물려받은 재능으로 어린 나이에 스승의 기술을 모두 전수받는 실력자가 되었다. 히엔이 돌아온 후, 블라즈는 도마에 은혜를 갚고자 도마 해방 전쟁에 참가하여 활약했고 도마 탈환 후에는 자신의 역할이 끝났다고 여겨 출가했지만, 동방 연합과 보즈야가 봉기했다는 소문을 듣고 고향으로 돌아가기로 결심한다.
때마침 취일문의 문주가 바뀌고, 전과는 반대로 보즈야를 다시 일으키기 위하여 힘을 다한다는 방침이 세워졌다. 취일문에 돌아오는 것을 허락받은 블라즈는 문주에게 사무라이 검술의 사범이 되어줄 것을 부탁받지만, 이를 거절하고 저항군에 들어간다. 이미 세상을 떠난 아버지의 유지를 이어받아 보즈야 독립과 재건을 위해 노력하겠다고 굳게 다짐한 것이었다…….
"
7,7,0,0,69478,72607,72507,3,"ヴェリボル・アゼティナ","벨리보르 아제티나","24세. 로스가르족. 보즈야 구역 제티나 출신.
보즈야 저항군의 일원이자, '신생 군힐드의 검' 중 한 명.

권술, 검술, 유술, 창술 등 온갖 무술을 가르치는 '취일문'의 직계 기사. 블라즈와는 육촌이다.

'취일문'은 2백년 이상의 역사를 자랑하는 무예의 명문이다. 갈레말 제국이 침공했을 때, 소국 보즈야를 지키기 위하여 많은 문하생이 싸움에 나섰다 목숨을 잃었다고 한다. 당시 제IV군단 군단장 바슈 반 가브란스는 그들의 재능을 아깝게 여겨 제국에 충성을 맹세한다면 취일문을 지켜주겠다고 약속했고, 문주는 스스로 목을 내놓음으로써 문파가 몰살되어 '혈통'이 끊기는 것을 피했다.
문주 대리를 맡은 벨리보르의 할머니는 가브란스와 한 약속을 고집스럽게 지켰다. 보즈야가 점령된 후에도 이따금 반란이 발생하여 일부 제자들이 참가했으나, 그때마다 그들을 파문시키고 문파에 피해가 가지 않도록 온 힘을 다했다. 할머니가 세상을 떠날 때, 새로 문주가 된 벨리보르의 아버지에게 이런 유언을 남겼다고 한다. ""나는 가브란스와 한 약속을 평생 지켰다. 그것이 내 남편의 부탁이었고, 나와 너를 지키기 위한 깊은 사랑이었다. 하지만 너는 솔직하게 살아라. 세상은 변한다…….""

일문에 복귀한 육촌 블라즈와는 죽이 잘 맞았다. 처음 만난 날을 지금도 기억한다. 같은 뜻을 지닌 동문 사이를 넘어 하나의 혼은 나눠 가지고 이 세상에 태어난 진정한 형제라고 벨리보르는 느꼈다. 짧은 기간이었지만 서로 절차탁마했으며, 새로운 기술을 만들어내기도 했다. 보즈야가 봉기하며 취일문은 정식으로 저항군에 참가한다. 자신의 사명을 다하기 위하여 오늘도 벨리보르는 대검을 휘두른다…….
"
