key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
#,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,int32,byte,byte,byte,uint32,uint16,byte,uint16,str,str,str,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,byte,byte,byte,byte,byte
0,0,0,0,1,0,0,0,0,"","","",False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0
1,47,1,42,3,242001,45187,0,0,"일사바드 대륙이 원산지인 육식 짐승. 과거에는 란디스 지방에 널리 서식했지만, 갈레말 제국이 통치하며 개체 수가 급격히 줄어 지금은 환상의 짐승이라 불릴 정도다. 해당 지역에서는 동료에 대한 애정이 깊은 짐승으로 알려져 있다.","물리 베기속성 피해","적에게 6회 물리 베기속성 피해",False,False,False,False,False,False,False,False,False,False,False,100,91,100,79,100
2,48,1,35,3,242002,48643,1,54,"세계 각지에 분포하는, 앞니가 발달한 설치류. 기본적으로 과수원과 곡물 창고를 망가뜨리는 해로운 동물이지만, 대지신 노피카의 종으로서 서민들에게 친숙하여 그림이나 목제 조각의 모델로 자주 쓰인다.","마법 불속성 피해","아군에게 헤이스트",False,False,False,False,False,False,False,False,False,False,False,91,100,91,91,91
3,49,1,21,4,242003,45188,1,30,"대빙설 시대에 가축화한 양. 품종 개량을 거듭한 결과 목화처럼 동글동글한 모양으로 자라게 된 털 덕분에, 가축으로서 확고한 지위를 다지게 되었다. 목에 종이 달려 있다면 목장에서 탈출한 개체일 것이다.","물리 타격속성 피해","적에게 수면+아군에게 수면 저항 증가",False,False,False,False,False,False,False,True,False,False,False,82,82,82,82,82
4,50,5,45,2,242004,48648,1,30,"가스 주머니로 몸을 띄우고 커다란 지느러미로 땅을 긁듯이 이동해 물가로 진출한 육상 어류. 하천에 사는 물고기를 잡기 위한 가늘고 긴 주둥이를 가지고 있다. 영역 의식이 강하기 때문에 어장으로 정한 장소에서 절대 도망치지 않는다.","마법 물속성 피해","아군에게 받는 마법 피해량 감소 효과 부여+마비 저항 증가",False,False,False,False,False,False,False,False,False,False,False,100,100,100,100,100
5,52,1,18,3,242005,49696,1,57,"삼림지대에 서식하는 원숭이. 우두머리를 중심으로 수십 마리가 무리를 지으며, 사회성을 갖고 있다. 매우 영리해 작물이 위협받는 농가에는 성가신 상대지만, 길들이면 든든한 친구가 될 것이다.","물리 타격속성 피해","적에게 마법 무속성 피해+마비",False,False,True,False,False,False,False,False,False,False,False,97,97,97,97,76
6,53,3,5,2,242006,48647,1,31,"마즐라야 섬 원산의 날지 못하는 대형 조류. 식용으로 적합하며 특히 가슴살이 맛있지만, 독성 분비물을 뱉기 때문에 사육하려면 독샘을 제거해야 한다. 각지에 퍼지면서 깃털 색이 다른 품종이 파생되었다.","마법 땅속성 피해+실명","아군에게 땅속성 저항 증가+실명 저항 증가",False,False,False,False,True,False,False,False,False,False,False,91,91,100,100,100
7,54,7,43,1,242007,48645,1,42,"자기 껍데기에 쓸 광석을 찾아 기어다니는 기묘한 마물. 서식하는 장소마다 나는 광물의 종류가 다르므로 껍데기 색이나 강도에도 자연스럽게 차이가 생긴다. 촉수에는 강한 독이 있어 절대 먹으면 안 된다.","마법 번개속성 피해","아군에게 받는 물리 피해량 감소+독 저항 증가",False,False,False,True,False,False,False,False,False,False,False,100,100,91,100,100
